,question,answer
99,revaluation amount equity instrument vest,vesting date entity revise estimate equal number equity instrument ultimately vested subject requirement  21
100,effect market condition fair value equity instrument,market condition target share price upon vesting conditioned taken account estimating fair value equity instrument granted
101,definition fair value,similarly entity take account nonvesting condition estimating fair value equity instrument granted
102,fair value option granted measurement date,option reload feature reload feature taken account estimating fair value option granted measurement date
103,preclude entity recognising transfer within equity,however requirement preclude entity recognising transfer within equity ie transfer one component equity another
104,entity required measure share option,vesting date entity reverse amount recognised good service received share option later forfeited lapse end share option life
105,effect paragraphon grant equity instrument,however entity settle grant equity instrument paragraphhas applied settlement occurs vesting period entity account settlement acceleration vesting therefore recognise immediately amount would otherwise recognised service received remainder vesting period
106,purpose requirement paragraphsto account effect,requirement paragraphsto account effect modification expressed context sharebased payment transaction employee
107,effect modification fair value sharebased payment arrangement,addition entity recognise effect modification increase total fair value sharebased payment arrangement otherwise beneficial employee
108,net fair value cancelled equity instrument,net fair value cancelled equity instrument fair value immediately cancellation le amount payment made employee cancellation equity instrument accounted deduction equity accordance
109,effect nonvesting condition,entity counterparty choose whether meet nonvesting condition entity treat entity counterpartys failure meet nonvesting condition vesting period cancellation
110,amount money repurchased,entity repurchase vested equity instrument payment made employee accounted deduction equity except extent payment exceeds fair value equity instrument repurchased measured repurchase date
111,entity settle liability fair value liability,liability settled entity remeasure fair value liability end reporting period date settlement change fair value recognised profit loss period
112,example cashsettled sharebased payment transaction,arrangement example cashsettled sharebased payment transaction
113,entity share appreciation right vest employee completed,share appreciation right vest employee completed specified period service entity recognise service received liability pay employee render service period
114,definition change term condition sharebased,entity might modify term condition cashsettled sharebased payment granted
115,condition must satisfied estimating fair value cash,might performance condition must satisfied entity achieving specified growth profit specified increase entity share price
116,amount award expected vest,apply requirement  33a entity recognise amount good service received vesting period
117,condition fair value cashsettled sharebased payment,market condition target share price upon vesting conditioned well nonvesting condition taken account estimating fair value cashsettled sharebased payment granted remeasuring fair value end reporting period date settlement
118,cumulative amount good service received consideration cashsettled,result applying  3033c cumulative amount ultimately recognised good service received consideration cashsettled sharebased payment equal cash paid
119,definition sharebased payment,tax law regulation may oblige entity withhold amount employee tax obligation associated sharebased payment transfer amount normally cash tax authority employee behalf
120,exception requirement paragraphthe transaction described  33e,exception requirement paragraphthe transaction described  33e classified entirety equitysettled sharebased payment transaction would classified absence net settlement feature
121,definition deduction equity,therefore payment made accounted deduction equity share withheld except extent payment exceeds fair value net settlement date equity instrument withheld
122,exception  33f,excess share withheld accounted cashsettled sharebased payment amount paid cash employee
123,definition sharebased payment transaction,sharebased payment transaction term arrangement provide either entity counterparty choice whether entity settle transaction cash issuing equity instrument entity account transaction component transaction cashsettled sharebased payment transaction extent entity incurred liability settle cash asset equitysettled sharebased payment transaction extent liability incurred
124,vesting period equity component debt component,ifric therefore believed vesting period equity component debt component determined separately vesting period component might different
125,difference fair value good service received fair value,transaction party employee fair value good service received measured directly entity measure equity component compound financial instrument difference fair value good service received fair value debt component date good service received
126,fair value compound financial instrument,transaction including transaction employee entity measure fair value compound financial instrument measurement date taking account term condition right cash equity instrument granted
127,fair value compound financial instrument,fair value compound financial instrument sum fair value two component
128,definition term compound financial instrument,equity component entity recognise good service received increase equity counterparty supply good render service accordance requirement applying equitysettled sharebased payment transaction
129,definition liability,date settlement entity remeasure liability fair value
130,difference cash equity,entity pay cash settlement rather issuing equity instrument payment applied settle liability full
131,ifric consider sharebased payment transaction,ifric noted definition sharebased payment transaction require exposure entity linked movement share price entity
132,statutory obligation settle cash,sharebased payment transaction term arrangement provide entity choice whether settle cash issuing equity instrument entity determine whether present obligation settle cash account sharebased payment transaction accordingly
133,requirement cash settlement,entity present obligation settle cash account transaction accordance requirement applying cashsettled sharebased payment transaction  3033
134,difference fair value equity instrument would otherwise issued,entity elect settlement alternative higher fair value date settlement entity recognise additional expense excess value given ie difference cash paid fair value equity instrument would otherwise issued difference fair value equity instrument issued amount cash would otherwise paid whichever applicable
135,difference amount recognised consolidated group amount recognised another,amount recognised entity receiving good service may differ amount recognised consolidated group another group entity settling sharebased payment transaction
136,definition sharebased payment transaction,entity receiving good service measure good service received equitysettled sharebased payment transaction award granted equity instrument entity obligation settle sharebased payment transaction
137,basis conclusion  bc268mbc268o,entity settling sharebased payment transaction another entity group receives good service recognise transaction equitysettled sharebased payment transaction settled entity equity instrument
138,definition sharebased payment transaction,case entity receives good service account sharebased payment transaction accordance  43b regardless intragroup repayment arrangement
139,purpose disclosure,entity disclose information enables user referconceptual framework  1
140,definition sharebased payment arrangement,give effect principle paragraphthe entity disclose least following description type sharebased payment arrangement existed time period including general term condition arrangement vesting requirement maximum term option granted method settlement
141,purpose disclosure,entity disclose information enables user financial statement understand fair value good service received fair value equity instrument granted period determined
142,definition term fair value,entity measured fair value good service received consideration equity instrument entity indirectly reference fair value equity instrument granted give effect principle paragraphthe entity disclose least following share option granted period weighted average fair value option measurement date information fair value measured including option pricing model used input model including weighted average share price exercise price expected volatility option life expected dividend riskfree interest rate input model including method used assumption made incorporate effect expected early exercise description input option pricing model share option granted disclosure textdescription method used assumption made incorporate effect expected early exercise share option granted disclosure textdescription option pricing model share option granted disclosure textdescription input option pricing model share option granted disclosure textexercise price share option granted disclosure per shareexpected dividend percentage share option granted disclosure percentexpected dividend share option granted disclosure monetarydurationexpected volatility share option granted disclosure percentoption life share option granted disclosure decimalrisk free interest rate share option granted disclosure percentweighted average share price share option granted disclosure per share expected volatility determined including explanation extent expected volatility based historical volatility information expected volatility determined share option granted disclosure text whether feature option grant incorporated measurement fair value market condition
143,fair value good service received period,entity measured directly fair value good service received period entity disclose fair value determined eg whether fair value measured market price good service
144,basis conclusion,entity rebutted presumption  disclose fact give explanation presumption rebutted
145,effect sharebased payment entity financial position,36 financial statement understand effect sharebased payment transaction entity profit loss period financial position
146,amount cash counterparty vested,give effect principle paragraphthe entity disclose least following total expense recognised period arising sharebased payment transaction good service received qualify recognition asset hence recognised immediately expense including separate disclosure portion total expense arises transaction accounted equitysettled sharebased payment transaction expense equitysettled sharebased payment transaction disclosure monetaryduration debitexpense sharebased payment transaction disclosure monetaryduration debit liability arising sharebased payment transaction total carrying amount end period liability sharebased payment transaction disclosure monetaryinstant credit total intrinsic value end period liability counterpartys right cash asset vested end period
147,definition sharebased payment arrangement,example entity classified sharebased payment transaction equitysettled accordance  33f entity disclose estimate amount expects transfer tax authority settle employee tax obligation necessary inform user future cash flow effect associated sharebased payment arrangement
148,ifrs equitysettled sharebased payment transaction,equitysettled sharebased payment transaction entity apply ifrs grant share share option equity instrument granted afternovemberand yet vested effective date ifrs
149,entity encouraged required apply ifrs grant,entity encouraged required apply ifrs grant equity instrument entity disclosed publicly fair value equity instrument determined measurement date
150,ifrs grant equity instrument,grant equity instrument ifrs applied entity restate comparative information applicable adjust opening balance retained earnings earliest period presented
151,ifrs equity instrument granted beforenovember 2002,grant equity instrument ifrs applied entity nevertheless disclose information required paragraphsand 45
152,ifrs grant equity instrument,ifrs becomes effective entity modifies term condition grant equity instrument ifrs applied entity nevertheless apply paragraphsto account modification
153,definition retrospective application,liability entity restate comparative information including adjusting opening balance retained earnings earliest period presented comparative information restated except entity required restate comparative information extent information relates period date earlier thannovember 2002
154,ifrs liability arising sharebased payment transaction,entity encouraged required apply retrospectively ifrs liability arising sharebased payment transaction example liability settled period comparative information presented
155,effect remeasurement opening retained earnings,unvested sharebased payment transaction granted prior date entity first applies amendment entity remeasure liability date recognise effect remeasurement opening retained earnings reporting period amendment first applied
156,definition retrospective application,entity elect retrospective application must amendment made classification measurement sharebased payment transaction
157,purpose ifrs,entity apply ifrs annual period beginning afterjanuary 2005
158,effect amendment earlier period,entity applies ifrs3 earlier period amendment also applied earlier period
159,purpose amendment,entity applies amendment period beginning beforejanuaryit disclose fact
160,purpose retrospective application,information necessary retrospective application available entity reflect separate individual financial statement amount previously recognised group consolidated financial statement
161,entity applies ifrs10 ifrs11 apply amendment,ifrs10 consolidated financial statement ifrs11 issued mayamended paragraphand appendix
162,change made definition vesting condition market condition,appendix definition vesting condition market condition amended definition performance condition service condition added
163,entity apply amendment,entity apply amendment applies ifrs9
164,definition amendment,entity apply amendment annual period beginning afterjanuary 2018
165,purpose amendment,entity apply amendment ifrs2 retrospectively subject transitional provision paragraphsof standard accordance ias8 accounting policy change accounting estimate error
166,effect change,requirement applied retrospectively accordance requirement ias8 subject transitional provision ifrs2
167,objective ifrs,accomplish ifrs establishes principle requirement acquirer recognises measure financial statement identifiable asset acquired liability assumed noncontrolling interest acquiree recognises measure goodwill acquired business combination gain bargain purchase determines information disclose enable user financial statement evaluate nature financial effect business combination
168,ifrs say acquisition asset group asset,acquisition asset group asset constitute business
169,standard apply acquisition investment entity investment subsidiary,requirement standard apply acquisition investment entity defined ifrs10 consolidated financial statement investment subsidiary required measured fair value profit loss
170,definition business,entity determine whether transaction event business combination applying definition ifrs requires asset acquired liability assumed constitute business
171,purpose ,entity account business combination applying acquisition method
172,purpose article,applying acquisition method requires identifying acquirer determining acquisition date recognising measuring identifiable asset acquired liability assumed noncontrolling interest acquiree recognising measuring goodwill gain bargain purchase
173,identified acquirer,business combination one combining entity identified acquirer
174,entity obtains control another entity,guidance ifrs10 used identify acquirerthe entity obtains control another entity ie acquiree
175,date acquisition,acquirer identify acquisition date date obtains control acquiree
176,acquirer obligation consider identifying acquisition,acquirer consider pertinent fact circumstance identifying acquisition date
177,definition recognition identifiable asset acquired liability assumed,recognition identifiable asset acquired liability assumed subject condition specified paragraphsand 12
178,acquirer recognise cost,47 example cost acquirer expects obliged incur future effect plan exit activity acquiree terminate employment relocate acquirees employee liability acquisition date
179,difference two type transaction,addition qualify recognition part applying acquisition method identifiable asset acquired liability assumed must part acquirer acquiree exchanged business combination transaction rather result separate transaction
180,recognition principle condition,acquirer application recognition principle condition may result recognising asset liability acquiree previously recognised asset liability financial statement
181,definition intangible asset, b31b40 provide guidance recognising intangible asset
182,ifrs,acquisition date acquirer classify designate identifiable asset acquired liability assumed necessary apply ifrss subsequently
183,example classification designation acquirer make basis,example classification designation acquirer make basis pertinent condition exist acquisition date include limited classification particular financial asset liability measured fair value profit loss amortised cost financial asset measured fair value comprehensive income accordance ifrs9 financial instrument designation derivative instrument hedging instrument accordance ifrs9 assessment whether embedded derivative separated host contract accordance ifrs9
184,exception principle  15,ifrs provides exception principle  classification lease contract acquiree lessor either operating lease finance lease accordance ifrs16 lease
185,value asset,acquirer measure identifiable asset acquired liability assumed acquisitiondate fair value
186,basis conclusion,business combination acquirer measure acquisition date component noncontrolling interest acquiree present ownership interest entitle holder proportionate share entity net asset event liquidation either fair value present ownership instrument proportionate share recognised amount acquirees identifiable net asset
187,type asset liability included ifrs, 2431a specify type identifiable asset liability include item ifrs provides limited exception measurement principle
188,exception ifrs provides limited exception, 21a31a specify particular item exception provided nature exception
189,scope ifriclevies, 21b applies liability contingent liability would within scope ias37 provision contingent liability contingent asset ifriclevies incurred separately rather assumed business combination
190,definition liability,conceptual framework financial reporting defines liability present obligation entity transfer economic resource result past event
191,definition contingent liability,present obligation identified accordance  21b might meet definition contingent liability set  22
192,contingent liability,ias37 defines contingent liability possible obligation arises past event whose existence confirmed occurrence nonoccurrence one uncertain future event wholly within control entity present obligation arises past event recognised probable outflow resource embodying economic benefit required settle obligation amount obligation measured sufficient reliability
193,meaning passage,therefore contrary paragraphs2329 andof ias37 acquirer recognises contingent liability assumed business combination acquisition date even probable outflow resource embodying economic benefit required settle obligation
194,contingent asset,ias37 defines contingent asset possible asset arises past event whose existence confirmed occurrence nonoccurrence one uncertain future event wholly within control entity
195,definition deferred tax asset,acquirer recognise measure deferred tax asset liability arising asset acquired liability assumed business combination accordance ias12 income tax
196,purpose article,acquirer account potential tax effect temporary difference carryforwards acquiree exist acquisition date arise result acquisition accordance ias12
197,acquirer liability,acquirer recognise measure liability related acquirees employee benefit arrangement accordance ias19 employee benefit
198,need valuation allowance uncollectible amount,acquirer recognise indemnification asset time recognises indemnified item measured basis indemnified item subject need valuation allowance uncollectible amount
199,purpose  57,paragraphprovides guidance subsequent accounting indemnification asset
200,ifrs16 basis conclusion,acquirer recognise rightofuse asset lease liability lease identified accordance ifrs16 acquiree lessee
201,ifrs16 basis conclusion,acquirer measure lease liability present value remaining lease payment acquired lease new lease acquisition date
202,value reacquired right,acquirer measure value reacquired right recognised intangible asset basis remaining contractual term related contract regardless whether market participant would consider potential contractual renewal measuring fair value
203,meaning term marketbased measure,ifrs refers result method marketbased measure sharebased payment transaction
204,ifrs5 definition noncurrent asset,acquirer measure acquired noncurrent asset classified held sale acquisition date accordance ifrs5 noncurrent asset held sale discontinued operation fair value le cost sell accordance paragraphsof ifrs
205,scope ifrs17,acquirer measure group contract within scope ifrs17 insurance contract acquired business combination asset insurance acquisition cash flow defined ifrs17 liability asset accordance paragraphsand b93b95f ifrs17 acquisition date
206,value acquisition date,acquirer recognise goodwill acquisition date measured excess aggregate consideration transferred measured accordance ifrs generally requires acquisitiondate fair value amount noncontrolling interest acquiree measured accordance ifrs business combination achieved stage acquisitiondate fair value acquirer previously held equity interest acquiree
207,difference fair value acquirees equity interest acquisition,business combination acquirer acquiree exchange equity interest acquisitiondate fair value acquirees equity interest may reliably measurable acquisitiondate fair value acquirer equity interest
208,meaning sentence,gain attributed acquirer
209,difference forced sale bargain purchase,bargain purchase might happen example business combination forced sale seller acting compulsion
210,objective review,objective review ensure measurement appropriately reflect consideration available information acquisition date
211,difference value sharebased payment award exchanged award held,however portion acquirer sharebased payment award exchanged award held acquirees employee included consideration transferred business combination measured accordance paragraphrather fair value
212,acquirer retain control asset liability business combination,however sometimes transferred asset liability remain within combined entity business combination acquirer therefore retains control
213,ifrics opinion ifrs3 business combination,e8ifric update novemberagenda decision ifrs3 business combinationsare put forward received minority interest business combination contingent consideration
214,contingent consideration,acquirer recognise acquisitiondate fair value contingent consideration part consideration transferred exchange acquiree
215,definition financial instrument,acquirer classify obligation pay contingent consideration meet definition financial instrument financial liability equity basis definition equity instrument financial liability paragraphof ias32 financial instrument presentation
216,meaning step acquisition,ifrs refers transaction business combination achieved stage sometimes also referred step acquisition
217,basis amount recognised comprehensive income,amount recognised comprehensive income recognised basis would required acquirer disposed directly previously held equity interest
218,business combination achieved stage,party joint arrangement obtains control business joint operation right asset obligation liability relating joint operation immediately acquisition date transaction business combination achieved stage
219,acquisition method accounting business combination,acquisition method accounting business combination applies combination
220,ifrs business combination,business combination achieved contract alone acquirer attribute owner acquiree amount acquirees net asset recognised accordance ifrs
221,measurement period business combination,initial accounting business combination incomplete end reporting period combination occurs acquirer report financial statement provisional amount item accounting incomplete
222,measurement period acquisition date,measurement period period acquisition date acquirer may adjust provisional amount recognised business combination
223,considered determining whether adjustment provisional amount made,acquirer consider pertinent factor determining whether information obtained acquisition date result adjustment provisional amount recognised whether information result event occurred acquisition date
224,effect change provisional amount liability,acquirer obtains new information measurement period acquisitiondate fair value liability adjustment goodwill resulting change provisional amount recognised liability would offset corresponding adjustment goodwill resulting change provisional amount recognised claim receivable insurer
225,true story measurement period acquirer recognise adjustment provisional,measurement period acquirer recognise adjustment provisional amount accounting business combination completed acquisition date
226,purpose accounting business combination,measurement period end acquirer revise accounting business combination correct error accordance ias8 accounting policy change accounting estimate error
227,difference two,acquirer acquiree may preexisting relationship arrangement negotiation business combination began may enter arrangement negotiation separate business combination
228,difference transaction settle preexisting relationship acquirer,transaction entered behalf acquirer primarily benefit acquirer combined entity rather primarily benefit acquiree combination likely separate transaction
229,cost issue debt equity security,cost issue debt equity security recognised accordance ias32 ifrs9
230,ifrs business combination,general acquirer subsequently measure account asset acquired liability assumed incurred equity instrument issued business combination accordance applicable ifrss item depending nature
231,reacquired right,reacquired right recognised intangible asset amortised remaining contractual period contract right granted
232,ifrs15 revenue contract customer,initial recognition liability settled cancelled expires acquirer measure contingent liability recognised business combination higher amount would recognised accordance ias37 amount initially recognised le appropriate cumulative amount income recognised accordance principle ifrs15 revenue contract customer
233,acquirer sell indemnification asset,acquirer derecognise indemnification asset collect asset sell otherwise loses right
234,ifrs9 ,change measurement period adjustment accordance  4549
235,purpose disclosure,acquirer disclose information enables user financial statement evaluate nature financial effect business combination occurs either current reporting period description nature financial effect business combination period disclosure text end reporting period financial statement authorised issue
236,meet objective paragraphthe acquirer disclose information specified,meet objective paragraphthe acquirer disclose information specified  b64b66
