,question,answer
70,example corporation balance sheet account,example corporation balance sheet account include cash temporary investment account receivable allowance doubtful account inventory investment land building equipment furniture fixture accumulated depreciation note payable account payable payroll tax payable paidin capital retained earnings others
71,cost principle gaap,mean inventory cost good sold resulting net income must reflect manufacturer actual historical cost
72,common rule must followed financial statement distributed business,financial statement distributed business organization common rule must followed known generally accepted accounting principle gaap
73,noncurrent asset,noncurrent asset asset expected turn cash within one year date shown company balance sheet
74,best way get financial statement,reviewing financial statement accountant able make additional adjustment almost immediately obtain revised report
75,difference outstanding check deposit transit,outstanding check deduction balance per bank deposit transit addition balance per bank
76,term liability accounting bookkeeping,accounting bookkeeping term liability refers company obligation arising past transaction
77,term debt mean,others use term debt mean formal written loan bond payable
78,definition debt,example debt meaning total amount company liability look debttoequity ratio
79,definition property plant equipment,property plant equipment longterm asset noncurrent asset section balance sheet report tangible longlived asset used company operation
80,subtraction accumulated depreciation pertains,also included balance sheet classification subtraction accumulated depreciation pertains asset
81,definition operating expense,operating expense cost used part company main operating activity period shown heading income statement
82,main operating activity retailer,example retailer main operating activity involve buying selling merchandise good
83,definition revenue,revenue amount company receives selling good andor providing service customer client
84,much company gain sell truck,example company receivesfor old delivery truck truck carry amount time sale wasthe company gain 2400
85,definition income,generally accountant use term revenue gross amount received irs may use term income mean gross amount received
86,difference contra inventory account valuation account,often balance current asset account inventory reduced credit contra inventory account referred valuation account
87,effect writedown inventory balance sheet,since amount writedown inventory reduces net income also reduce amount reported balance sheet owner equity stockholder equity
88,difference company bank,company borrowsfrom bank company debtor bank creditor
89,net sale good,net sale cost good sold gross profit
90,gross profit ratio,gross profit ratio gross profit percentage 35
91,term net profit mean income tax expense,business regular corporation net profit may mean income tax expense
92,term cost mean,however use term cost mean amount spent purchase item service etc
93,much income statement report supply hand,result balance sheet report supply hand cost income statement report supply expense 7500
94,process preparing detailed projection future amount,budgeting process preparing detailed projection future amount
95,definition capital budgeting,capital budgeting involves future project overlap several many future accounting period
96,income statement,income statement account one two type general ledger account
97,common income statement account used business,many income statement account used business include sale sale return allowance service revenue cost good sold salary expense wage expense fringe benefit expense rent expense utility expense advertising expense automobile expense depreciation expense interest expense gain disposal truck many
98,difference amount revenue amount net income,revenue top line company income statement net income often referred bottom line
99,best way calculate company revenue accounting period,best way calculate company revenue accounting period year month etc
100,best way use word income referring amount earned customer,however best use word sale revenue referring amount earned customer use word income amount reflects subtraction expense
101,operating cycle,operating cycle time required company cash put operation return company cash account
102,full disclosure principle,full disclosure principle requires company provide necessary information people accustomed reading financial information able make informed decision regarding company
103,equipment placed service company begin report depreciation expense,equipment placed service company begin report depreciation expense profit loss statement year equipment used
104,much depreciation expense reported year,using straightline method depreciation year profit loss statement report depreciation expense offoryears
105,account temporary,account owner drawing account income summary account also temporary account
106,cost,cost might expense might asset
107,much property insurance bill next six month,company property insurance bill next six month insurance show cost 6000
108,amount insurance expires,prepaid cost thein asset account prepaid insurance expires part expires reported income statement insurance expense
109,sole proprietorship j lee,sole proprietorship j
110,total amount reported capital account indicate company market value,historical cost principle accounting principle total amount reported capital account indicate company market value
111,going concern assumption,going concern assumption basic underlying assumption accounting
112,role cost center profit center decentralized company,cost center profit center usually associated planning control decentralized company
113,unpaid wage,unpaid wage usually amount hourlypaid employee earned yet paid employee
114,adjust expense issuing financial statement,accomplished recording adjusting entry debit income statement account repair expense forand credit balance sheet current liability account accrued expense payable 6000
115,adjusting entry balance sheet,adjusting entry dated decemberwill debit balance sheet current asset account interest receivable forand credit income statement account investment income 5000
116,interest expense,interest expense occurring daily interest likely paid monthly quarterly semiannually annually
117,much interest expense company incur month december,however company incur onehalf month interest expense
118,gross profit margin,gross profit margin also referred gross profit percentage gross margin ratio
119,difference gross margin cost good sold,others might say company gross margin ratio 25
120,purpose income statement,purpose income statement report summary company revenue expense gain loss resulting net income occurred year quarter period time
121,income statement amount best calculated specific period time,income statement amount best calculated specific period time using accrual basis accounting
122,definition capital expenditure,amount capital expenditure recorded asset moved income statement depreciation expense year asset useful life
123,difference normal repair expense,result normal repair also reported income statement expense accounting period repair made
124,definition expense,expense many form called various namesfor example cost good sold cost service provided depreciation interest salary wage
125,debit balance,accounting bookkeeping debit balance ending amount found left side general ledger account subsidiary ledger account
126,difference cash cash account,transaction recorded cash account debit balance 4000
127,interest payable,interest payable amount interest company incurred yet paid date balance sheet
128,difference interest expense interest payable,illustrate difference interest expense interest payable let assume company borrowson novemberat annual interest rate 6
129,account wage salary ep,account wage salary expense used record amount earned employee accounting period accrual basis accounting
130,balance sheet report liability wage owed december 31,result december income statement present accurate picture december profit balance sheet report liability wage owed december 31
131,common cost flow assumption u,common cost flow assumption fifo lifo average
132,type inventory manufacturer,retailer distributor likely one type inventory namely merchandise
133,definition depreciation expense,depreciation asset used business outside manufacturing process reported depreciation expense accounting period
134,contra asset account,accumulated depreciation report total amount depreciation reported income statement time asset put service date balance sheet
135,long credit balance accumulated depreciation reach,balance accumulated depreciation reachesat end 84th month
136,definition cost,context question cost amount paid exchange material product service
137,definition cost,cost reported expense accounting period used expired future economic value measured
138,long cost hydraulic lift last,remaining useful life truck lift isyears
139,accounting equation sole proprietorship,corporation accounting equation asset liability stockholder equity
140,much money invested new business,let assume person start new sole proprietorship business investing 10000
141,accounting principle,accounting principle common rule must followed preparing financial statement distributed people outside company
142,organization accounting year end date december 31,business organization accounting year end date decemberis coincide natural business year
143,definition freight outwards,carriage outwards refers transportation cost seller must pay sell merchandise term fob destination
144,cost shipping good,supplier ship good via united parcel service cost 50
145,subsidiary ledger,significant amount detailed information needed account account receivable subsidiary ledger often used
146,much money company pay car,assume company purchased car forby paying cash ofand signing promissory note 6000
147,amount bad debt incurred,amount reported income statement account bad debt expense pertains estimated loss extending credit period shown heading income statement
148,amount account collected,balance reported balance sheet account allowance doubtful account estimated amount account receivable collected
149,much company account receivable owed,however januarythe company learns additionalof account receivable may collected
150,unpresented check,unpresented check also referred outstanding check check yet cleared bank
151,difference cash account check,hence company general ledger cash account require adjustment unpresented outstanding check reported balance sheet
152,term interest occurred paid balance sheet,interest occurred paid balance sheet date referred accrued interest
153,adjusting entry interest expense liability,interest decemberthrough decemberwasthe adjusting entry dated decemberwill debit interest expense forand credit interest payable 100
154,part stockholder equity,expense decrease corporation retained earnings decrease sole proprietor capital account
155,window dressing,window dressing refers action taken taken prior issuing financial statement order improve appearance financial statement
156,balance general ledger account,let assume company operates throughout year negative balance general ledger account cash checking account
157,balance accumulated depreciation,balance accumulated depreciation reported balance sheet separate deduction asset historical cost
158,much land reported company balance sheet,today land reported company balance sheet historical cost ofeven though current cost replacement cost inflationadjusted cost appraised value assessed value amount range fromto 270000
159,difference company accounting period year,company accounting period calendar month company accrue wage benefit earned hourly paid employee last day month
160,payroll withholding tax,payroll withholding tax tax employer required deduct employee gross wage salary bonus compensation
161,payroll tax withheld employee,tax withheld employee expense company withheld
162,difference sole proprietorship subchapter,net income sole proprietorship partnership subchapter corporation include income tax expense since owner responsible business income tax
163,difference net loss decrease owner capital,net loss cause decrease retained earnings stockholder equity
164,meaning term accounting period,however financial statement monthly accounting period likely used company management
165,example accounting period used u company,following example accounting period used u
166,longterm asset,longterm asset asset expected converted cash consumed within one year date shown heading balance sheet
167,longterm asset,longterm asset include longterm investment financial security property plant equipment intangible asset
168,definition accrued income,one example accrued income interest company earns bond investment
169,invoice,invoice received vendor billing good service provided
170,purpose supplier policy,statement supplier list amount past invoice customer paid
171,prepaid expense,prepaid expense refers amount company paid portion expense later accounting period
172,prepaid expense,company accounting year ending decemberhas prepaid expense decemberit paidfor insurance coverage decemberthrough may 31
173,prepaid expense recorded,prepaid expense recorded initially expense current asset
174,negative owner equity,negative owner equity mean amount sole proprietorship liability exceeds amount asset
175,problem negative amount owner equity,negative amount owner equity problem obvious anyone reading company balance sheet
176,difference prepaid advertising advertising expense,prepayment cost ad air future recorded current asset account prepaid advertising
177,ad cost,let assume december corporation paidmillion prepare ad book time shown super bowl game early february
178,business account debit owner equity,illustrate debit increase asset account balance assume jim start new business depositingof personal saving business checking account
179,replenishing mean,replenishing petty cash fund mean petty cash custodian request receives cash company regular checking account amount return cash hand amount shown general ledger account petty cash
180,much cash mary need return company,need obtain company check forin order cash return cash amount 100
181,reason reporting little inventory end year,inventory understated end year mean amount inventory reported le true correct amount
182,formula cost good sold,formula cost good sold cost beginning inventory cost good purchased cost good available cost ending inventory cost good sold
183,current liability company operating cycle greater one year,company operating cycle greater one year current liability obligation due within operating cycle
184,common example current liability reported company balance sheet,common example current liability reported company balance sheet include following account payable amount owed vendor supplied good service
185,accrual method accounting revenue reported income statement period,accrual method accounting revenue reported income statement period earned even though dependable customer pay companydays later
186,many day company sell good one best customer,junea company sellsof good one best customer credit term netdays
187,company receipt,company receipt refers cash company received
188,value cash sale,company make acash sale company earned revenue ofand receipt 200
189,included external financial statement issued u corporation,external financial statement issued u
190,difference paidin capital contributed capital,generally paidin capital report amount corporation received stockholder exchange newly issued share capital stock
191,retained earnings,retained earnings one component stockholder equity section corporation balance sheet
192,much company depreciate equipment,assume company depreciates equipment rate ofper year
193,type asset reported balance sheet,fixed asset one several category noncurrent asset
194,net cash flow,net cash flow combination cash received cash disbursed
195,net cash flow,net cash flow include cash inflow money received customer purchased product credit earlier accounting period cash sale occurring current accounting period money received bank loan money received disposing old asset etc
196,difference cash depreciation expense,december abco little depreciation expense mean small reduction december net income
197,required issued along income statement,result difference company net income change company cash balance statement cash flow required issued along income statement required financial statement
198,par value corporation legal capital,par value also referred corporation legal capital
199,accounting entry debit cash forand credit,example corporation issuesnew share common stock total ofand stock par value isper share accounting entry debit cash forand credit common stockparand credit paidin capital excess par 1900
200,accounting entry corporation,corporation required par value common stock corporation issuesshares forthe accounting entry debit cash forand credit common stock 2000
201,periodic system account inventory entry adjusted end,periodic system account inventory entry adjusted end accounting year report cost ending inventory
202,cost good sold,perpetual system cost good sold removed account inventory good sold recorded account cost good sold
203,best way record payment prepaid asset,annual trade group membership fee isand amount significant company company record payment prepaid asset write monthly adjusting entry 500
204,monthly accrual adjusting entry needed,accrual adjusting entry needed monthly company issue monthly financial statement
205,meaning balance sheet,company prepares balance sheet account form mean asset presented left side debit side
206,effect positive amount profit net income,accountant prepare income statement pl report revenue expense ultimate effect positive amount profit net income increase business asset owner equity
207,owner drawing account get closed income summary account,please note owner drawing account expense result get closed income summary account amount appear company income statement
208,much debit balance eve jones drawing,let assume end accounting year account eve jones drawing debit balance 24000
209,inventoriable cost item,freight cost isthen retailer inventoriable cost item 21
210,asset reported balance sheet,asset reported balance sheet company resource cash account receivable inventory investment land building equipment intangible asset
211,purpose balance sheet classification,balance sheet classification allow reader easily compute amount company working capital determine company highly leveraged
212,difference debit credit,think debit entry left side account credit entry right side another account
213,difference credit debit,illustrate let assume company borrowsfrom bank
214,difference monthly rent payment credit cash,recorded credit cash
215,sale commission,sale commission amount earned selling another company good service paid company whose good service sold
216,difference journal entry noncancelable contract,journal entry required time contract signed significant commitment contained contract must disclosed note financial statement party noncancelable contract
217,contract work,assume electric utility sign noncancelable contract coal company purchasemillion ton coal delivered oneyear period begin three month
218,element financial statement,element financial statement class item contained financial statement
219,definition corporation earnings,corporation stock publiclytraded amount earnings must also shown income statement earnings per share common stock
220,recent year net sale corporation,assume recent year corporation net sale ofcost good soldsgainterest expenseincome tax expense 9000
221,required reduce credit balance,therefore reduce credit balance expense account require debit entry
222,account used debit company cash,since every entry must debit equal credit company need debit another account 800
223,increase credit balance revenue account credited,therefore increase credit balance revenue account credited
224,difference service cash,company earns receivesfor providing service company asset owner equity increase
225,definition accrued revenue,accrued revenue include service revenue interest income sale good etc
226,much interest due supplier,december financial statement report amount earned accountant must record adjusting entry dated decemberthat debitsto interest receivable creditsto interest income
227,difference amount revenue earned amount expense incurred,accrual basis accounting profit amount revenue earned minus amount expense incurred
228,change balance sheet,since business transaction affect least two account likely enormous number change balance sheet
229,order current liability,within current liability classification order current liability account listed vary
230,intended result temporary account,intended result temporary account begin next accounting year zero balance
231,classified balance sheet,classified balance sheet arranges amount company balance sheet account format useful reader
232,difference company profit cash flow,help recognize difference company profit cash flow statement cash flow one required external financial statement
233,rent receivable,rent receivable asset account general ledger landlord report amount rent earned received date balance sheet
234,account rent revenue also known rental income,account rent revenue also known rental income
235,direct write method accounting credit loss pertaining account receivable,direct write method accounting credit loss pertaining account receivable bad debt expense reported income statement account receivable actually removed company receivables
236,meaning term share common stock,share common stock ownership interest corporation
237,periodicity,periodicity accounting assumption made accountant company complex ongoing activity divided annual quarterly monthly amount reported respective financial statement
238,long take build special machine one customer,earthmoving equipment manufacturer may require two year build special machine one customer
239,best way avoid overstating company profit current asset,unfortunately customer may pay amount owed company
240,term sale mean,company sell noncurrent asset used business old delivery truck display counter company car etc
241,difference gross sale net sale,gross sale minus subtraction sale return sale allowance early payment discount known net sale
242,word foot mean,accountant auditor use word foot mean adding one column number
243,auditor verify sum column equal sum,addition summing footing column detail auditor crossfoot total adam beth cindys column certain sum three column total equal sum total column
244,accrual method accounting,accrual method accounting also known accrual basis accounting required large corporation
245,company debit repair maintenance expense 10000,maythe company debit repair maintenance expense forand credit liability account accrued expense
246,time pass debit balance decrease adjusting entry credit account prepaid insurance,time pass debit balance decrease adjusting entry credit account prepaid insurance debit insurance expense
247,best way monitor balance prepaid insurance insurance exp,since adjusting entry involve balance sheet account income statement account wise monitor balance prepaid insurance insurance expense throughout year
248,main financial statement nonprofit organization,statement activity one main financial statement issued nonprofit organization
249,nonprofit statement activity,following example nonprofit statement activity
250,goal erp,word goal erp one integrated system entire company
251,major erp system,two supplier vendor major erp system include sap oracle
252,credit,bookkeeping accounting credit likely refers amount entered right side general ledger account right side taccount
253,happens company usesto purchase office equipment,since company cash balance decreased company credit account cash forand debit asset office equipment account 4000
254,unearned revenue,financial accounting unearned revenue refers money received prior earned
255,definition deferral adjusting entry,monthly entry foris often described deferral adjusting entry
256,unrecorded revenue,unrecorded revenue implies revenue earned yet recorded company accounting record
257,long take electric utility provide electricity customer read meter,common electric utility provide electricity customer one month read customer meter calculates bill record billing revenue account receivable
258,difference saving income tax payment source cash,saving income tax payment equivalent source cash
259,difference asset liability account,recall asset account normally debit balance liability stockholder equity account normally credit balance
260,difference liability owner equity account,normally liability owner equity account credit balance
261,prepaid insurance,prepaid insurance usually short term current asset insurance premium rarely billed period greater one year
262,definition current asset,company industry operating cycle longer one year company current asset cash asset converted cash used upconsumed operating cycle
263,newly formed company pay insurance coverage,assume decembera newly formed company paysfor insurance coverage six month ending june 1
264,definition payment,payment disbursement money
265,definition retailer inventory cost,retailer inventory cost cost purchase item supplier plus cost get item retailer
266,much freight required get product supplier retailer location,addition retailer must pay freight bill ofto get product supplier retailer location
267,definition accrued liability,amount accrued liability related expense may estimated
268,definition company inventory,company must report inventory historical cost
269,cost flow assumption used u company,since cost product likely change accounting year company must select cost flow assumption used consistently
270,abbreviation debit,associated term used italy thanyears ago rather word debit use today
271,main cash flow statement,cash flow statement known formally statement cash flow report company change cash cash equivalent one balance sheet date another
272,impact purchase new machine profit loss statement,purchase new machine used business affect profit loss statement machine placed service depreciation expense begin
273,much depreciation expense first year company accounting year,next nine accounting year depreciation expense beand thenin final accounting year
274,asset account,asset account general ledger account used sort store debit credit amount company transaction involving company resource
275,example asset account,example asset account include cash account receivable inventory prepaid expense investment building equipment vehicle goodwill many
276,difference asset account real account,asset account referred permanent real account since closed end accounting year
277,difference reporting current value historical cost,hand reporting current value asset subjective could lead exaggerated amount
278,petty cash fund replenished cost postage,company incurs cost time payment recorded general ledger account postage expense petty cash fund replenished
279,difference note cash,company lends money one employee company reducing cash increasing another asset receivablesadvances employee note receivable employee
280,company general ledger account,company employer agrees give employee anadvance pay repair
281,difference product cost profit,accountant might state product selling price equal cost profit
282,difference cost price material,illustrate term cost price might used interchangeably provide following example
283,word reserve used describe balance contra asset,accountant decided eliminate word reserve reporting balance contra asset account
284,definition provision,two example include provision doubtful account expense provision income tax expense
285,product sold cost removed inventory included,product sold cost removed inventory included income statement cost good sold
286,cost product manufacturer,product cost manufacturer direct material direct labor manufacturing overhead used manufacture product
287,period cost included cost inventory,since product cost period cost included cost inventory
288,insurance premium nonmanufacturing protection expire,example insurance premium company pay nonmanufacturing protection expensed period insurance premium expire
289,double entry mean,accounting double entry mean every transaction involve least two account
290,employee work hourly wage company asset cash decreased,employee work hourly wage company account wage expense increased liability account wage payable increased
291,difference stockholder shareholder,term stockholder shareholder typically describes investor share corporation common stock
292,sole proprietorship,owner referred sole proprietor
293,difference drawing account cash account,drawing account temporary account owner current year draw withdrawal recorded
294,definition statement cash flow,statement cash flow one required external financial statement
295,scf,see scf show corporation cash inflow without parenthesis cash outflow shown parenthesis
296,importance inventory,example accuracy calculating inventory important
297,definition gross sale,amount originate company sale invoice total adjusted accrual basis end accounting period
298,difference gross sale net revenue,amount remaining deduction known net sale
299,purpose separation duty,separation duty one various internal control technique safeguarding company asset
300,role night depository safe,bank requires night depository safe opened twice day deposit processed immediately
301,difference depreciable cost salvage value,result calculation sometimes referred asset depreciable cost
302,difference total amount depreciation life asset,word total amount depreciation life asset ison financial statement tax return
303,difference paidin capital permanent capital,contributed capital often described paidin capital corporation permanent capital
304,difference asset account,several accounting period amount asset account change depreciation building hundred transaction
305,country term turnover used place sale,country turnover used place sale
306,area accounting need improve,help identify area need improve
307,cheat sheet available pro member,created meaningful cheat sheet ofaccounting topic accessed pro member
308,many question find pro site,pro member accessquick test containing thanpractice question answer
309,best way find information need,search result provide info need
310,user say explanation,many thereviewstestimonials received user state explanation provided clarity craved
311,think question exam,many student told studied long hour felt knew material yet failed exam
312,help instructor become empathetic,process may helping instructor become empathetic process help future student well
313,sale plant asset,sale plant asset often disposal company equipment used company business operation
314,cost equipment,assume company xyz want dispose production equipment cost ofseveral year ago
315,common way debit company subscription,amount company subscription insignificant company debit subscription expense credit cash
316,company record deferral adjusting entry,end month company record deferral adjusting entry debit subscription expense forand credit prepaid expense 100
317,purpose chart account,however chart account include transaction amount account balance
318,common accounting software small company,popular accounting software include example chart account
319,method depreciation used business,various method depreciating asset used business
320,common method depreciation company financial statement,even depreciation company financial statement could consist asset depreciated using unit production unit activity method asset depreciated using straightline method
321,definition fully depreciated asset,fully depreciated asset one accumulated depreciation equal cost
322,much company depreciate building,company depreciated building rate ofper year foryears
323,true cost good sold january,result balance sheet report inventory ofand income statement report cost good sold 85000
324,natural business year,natural business year period ofconsecutive month ending low point organization activity year
325,term fiscal year,term fiscal year associated company financial reporting year end december 31
326,definition net sale,accrual basis accounting net sale total amount good shippeddelivered customer specified period time minus early payment discount minus allowance good returned customer adjustment sale invoice amount etc
327,retailer net sale month,assume recent month retailer hadof merchandise sale
328,definition depreciation,systematic rational allocation typically included definition depreciation
329,many item useful company,assume another company purchase equipment forthat useful producing total ofitems
330,bank reconciliation,bank reconciliation form internal control company checking account balance
331,certificate deposit,certificate deposit also referred cd time deposit bank credit union financial institution
332,rate interest bank saving account,1 bank saving account andon bank checking account
333,source company asset,however liability also viewed source company asset
334,difference interest expense income tax benefit cost saving,corporation able borrow money needed sayinterest interest expense income tax benefit may 5
335,difference income statement owner equity account,accounting bookkeeping separate financial statement known income statement report revenue expense gain loss recorded income statement account
336,connection income statement balance sheet sole proprietorship,explanation accounting equation contains series transaction illustrate connection income statement balance sheet sole proprietorship corporation
337,fixed asset reported,reported property plant equipment section balance sheet
338,common accounting rule must followed u company prepare,common rule range basic underlying principle assumption detailed rule established financial accounting standard board complex financial transaction
339,seller receives payment customer seller debit cash credit sale,time sale seller debit account receivable credit sale
340,accrual basis accounting,accrual basis accounting sellerco reportin income statement account sale reportin current asset account account receivable
341,doubleentry system,doubleentry system also requires transaction amount entered debit must equal amount entered credit
342,difference liability cash account,company cash account must increased byand liability account must increased 10000
343,double entry mean,double entry also mean accounting equation always balance
344,trial balance,debit balance amount listed column heading debit balance credit balance amount listed another column heading credit balance
345,purpose trial balance,often cause difference miscalculation account balance posting debit amount credit transposing digit within amount posting preparing trial balance etc
346,meaning term journal entry,manual accounting bookkeeping system business transaction first recorded journal
347,adjusting entry accrue interest bank loan,another example general journal entry adjusting entry accrue interest bank loan
348,example expense accrual,example expense accrual electricity used december neither bill payment processed january
349,definition term revenue accrual,accrual revenue revenue accrual refers reporting revenue related asset period earned prior processing sale invoice receiving money
350,definition expense deferral,amount expires accounting period reported insurance expense
351,definition revenue deferral,money earned insurance company report unearned amount current liability unearned insurance premium
352,move amount suspense account,soon possible amount suspense account moved proper account
353,controller available accountant get clarification move amount su,controller available accountant get clarification move amount suspense account appropriate account
354,definition miscellaneous expense,miscellaneous expense may also description company income statement refers amount consisting small balance contained many general ledger expense account
