question,answer
What is the definition of return on average assets?,Return on Average Assets (ROAA) can be defined as an indicator used to evaluate the profitability of the assets of a firm.
What is the difference between the return on average capital employed and the return on capital employed?,The return on average capital employed (ROACE) is a ratio that reveals the profitability against the investments made in the company.
What is the return on average equity?,The return on average equity (ROAE) refers to the performance of a company over a financial year.
What is the definition of a return on capital employed?,"Capital employed equals a company's Equity plus Non-current liabilities (or Total Assets  Current Liabilities), in other words all the long-term funds used by the company."
What is the definition of the term return on debt?,"Putting it other way, the return on debt refers to the amount of profit generated for every dollar held by a company in debt."
what is return on equity?,Return on equity (ROE) is the amount of net income returned as a percentage of shareholders equity.
what is the capital which is return on investment in business?,ROIC is the capital which is return on investment in business is a high-tech way of examining a stock at return on investment that corrects for some specialties of Return on Assets and Return on Equity.
What is the most commonly used approach for evaluating the financial consequences of business investments?,"It is one of most commonly used approaches for evaluating the financial consequences of business investments, decisions, or actions."
what is the return on net assets?,The return on net assets (RONA) is a comparison of net income with the net assets.
What is the definition of the term return on research capital?,"The return on research capital is an element of productivity and growth, as research and development is one of the techniques employed by the companies to develop new products and services for sale."
What is the difference between a higher return on retained earnings and a lower return on dividend?,A higher return on retained earnings indicates that a company would be better off reinvesting the business.
What is the return on revenue (ROR)?,The return on revenue (ROR) is a measure of profitability that compares net income of a company to its revenue.
What is the definition of a return on sales?,Return on sales (ROS) is a ratio widely used to evaluate an entity's operating performance.
What is the definition of a measure of performance of human resources of a company?,This is a measure of performance of human resources of a company.
What is risk adjusted return?,"Risk adjusted return can apply to investment funds, portfolio and to individual securities."
how many times in a given period does a company pay its average accounts payable?,The ratio shows how many times in a given period (typically 1 year) a company pays its average accounts payable.
What is the ratio of assets to sales?,The ratio helps to measure the productivity of a company's assets.
what is the time required for a firm to turn purchases into cash receipts from customers?,It is the time required for a business to turn purchases into cash receipts from customers.
what is the dpo?,Days payable outstanding (DPO) is the accounts payableturnover expressed in days (accounts payable outstanding in days).
what is days sales outstanding?,Days Sales Outstanding (DIO) is an average collection period in days for the accounts receivable (accounts payable outstanding in days).
what is the defensive interval?,Defensive Interval Ratio is also called as Defensive Interval Period.
how much of a company's fixed assets are used to generate revenue?,This ratio tells us how effectively and efficiently a company is using its fixed assets to generate revenues.
What is the definition of inventory turnover?,Inventory turnover is a measure of the number of times inventory is sold or used in a given time period such as one year.
how quickly a company collects outstanding cash balances from its customers during an accounting period?,This ratio determines how quickly a company collects outstanding cash balances from its customers during an accounting period.
how many times are the financial obligations of a company covered by its earnings?,This ratio tells the number of times the financial obligations of a company are covered by its earnings.
What is the definition of cash flow management?,Analyzing and managing the cash flows of a company is known as cash flow management.
what is a cash flow return on investment?,Cash flow return on investment (CFROI) is the indicator that helps a firm to evaluate the performance of an investment or product.
is a good indicator of financial health of a company?,Higher free cash flows to operating cash flows ratio is a very good indicator of financial health of a company.
What is the ratio of a company's operating cash flows to its sales revenue?,This ratio gives the analysts and investors indications about the ability of a company to generate cash from its sales.
what is price/cash flow ratio?,Price/cash flow ratio is an investment valuation ratio used by investors to evaluate the attractiveness of investing in a company’s shares.
what is a business valuation?,Valuation is used by the participants of financial markets for determination of prices which can be paid or received willingly to consummate a business sale.
what is dividend payout ratio?,Dividend payout ratio compares the dividends paid by a company to its earnings.
How do they compare dividends to share prices?,They also compare the dividends to share prices to see how much cash flow the investors get for their investments in the company’s shares.
what is dividend yield?,Dividend yield is the amount that a company pays to its share holders annually for their investments.
What is the value of a company's business?,The enterprise value (EV) measures the value of the ongoing operations of a company.
What is the definition of the term?,"Enterprise value multiple is the comparison of enterprise value and earnings before interest, taxes, depreciation and amortization."
What is the EV/EBITDA ratio?,"The EV/EBITDA ratio is a comparison of enterprise value and earnings before interest, taxes, depreciation and amortization."
what is the Gordon Growth Model?,"Gordon Growth Model is a model to determine the fundamental value of stock, based on the future sequence of dividends that mature at a constant rate, provided that the dividend per share is payable in a year, the assumption of the growth of dividend at a constant rate is eternity, the model helps in solving the present value of the infinite series of all future dividends."
what is the risk assessment before a mortgage is accepted?,It can also be known as the risk assessment that is made before a mortgage is accepted.
what is the net asset value per share?,"The net asset value per share can be defined as an expression for net asset value that indicates the value per share for a fund (exchange-traded, mutual, and closed-end) or a company."
what is the price/earnings to growth ratio?,"The PEG ratio which is the price/earnings to growth ratio is used to determine the relative trade-off between price of stock, earnings per share (EPS) and the expected growth of the company."
what is the price to earnings ratio?,The P/E ratio is a valuation ratio of a company's current price per share compared to its earnings per share.
what is the price-to-research ratio?,The Price-to-research ratio can be expressed as a measure of the relationship between a company’s market capitalization and expenses on the research and development.
what is price/book value ratio?,Price/book value ratio is an investment valuation ratio used by investors or finance providers to compare market value of a company’s shares to its book value (Shareholder Equity).
What is the price to sales ratio?,This ratio is usually used for valuation of shares.
What is the role of finance in the stock market?,"In every country’s economy, finance plays an important role in the stock market."
what is the APV of a project?,"The Adjusted Present Value (APV) can be delineated as the Net Present Value of a project, financed exclusively by equity, added to the Present Value (PV) of any financing benefits (the added effects of debt)."
What is the Altman Z Score?,"Most commonly, a lower score reflects higher odds of bankruptcy."
what is the interest rate on an account?,The interest is calculated to determine the returns that a person can get by adding the interest payment to the amount originally deposited and the next interest payment will be established on the marginally higher account balance.
what is annualized rate of return?,The annualized rate is calculated by multiplying the change in rate of return in one month by 12 (or one quarter by four) to get the rate for the year.
What is the meaning of annuities?,"In finance theory, the term annuity is used to refer to a terminating stream of fixed payments over a particular time period."
What is the average annual growth rate?,"The average annual growth rate can be evaluated for any kind of investment, but does not include any measure of the overall risk involved in the investment, as calculated by the volatility of its price."
what is the average annual return?,"The average annual return is defined as a percentage figure which is used while reporting the previous returns, like 3-, 5-, and 10-year average returns of a mutual fund."
what is a bad debt?,A bad debt can be defined and explained as an amount which has been written off by the business as a loss and categorized as an expense for the debt owed to the business cannot be collected and all efforts made for the same have failed to collect the owed amount.
what is a balance sheet analysis?,"Balance sheet analysis can be defined as an analysis of the assets, liabilities, and equity of a company."
can be explained as a legal proceeding which involves a business or individual being unable to?,Bankruptcy can be explained as a legal proceeding which involves a business or individual being unable to repay his outstanding debts.
What is the definition of book value per equity share?,"In simple words, book value per equity share gives a snap shot of a firm’s present situation not including the future considerations of a firm."
what is a break-even point?,The break-even point is a point where total costs (expenses) and total sales (revenue) are equal.
What is the definition of the term capital asset pricing?,The Capital Asset Pricing Model (CAPM) refers to a model that delineates the relationship between risk and expected return and what is used in the pricing of risky securities.
what is capital budgeting?,"Capital budgeting refers to a process that involves a business to determine whether the projects, like investing in a long-term venture or building a new plant, are worth following."
What is capital employed?,"Generally, capital employed is presented as deducting the current liabilities from the total assets."
what is the cash burn rate?,The rate at which a company utilizes its cash supply over a specific period of time is known as the cash burn rate.
What is the definition of a coefficient of variation?,The coefficient of variation (CV) refers to a statistical measure of the distribution of data points in a data series around the mean.
What is a company analysis?,"Company analysis is a process carried out by investors to evaluate securities, collecting info related to the company’s profile, products and services as well as profitability."
what is the growth rate of a company?,"The compound annual growth rate (CAGR) of a company refers to the growth rate of an investment, year after year, for a particular time period."
What is the term compounding?,This method of addition of interest to the principle is known as compounding.
What is the difference between sales revenue and variable costs?,It is the measure of the profit margin that focuses on the proportion of sales revenue which is left after the deduction of variable costs associated with the product.
What is the cost of debt?,Cost of debt generally refers to the effective paid by a company on its debts.
What are the risks associated with foreign investments?,"The risks included are exchange rate risk, economic risk, political risk, and sovereign risk or transfer risk and by which there is a risk of capital being frozen for Government action."
What is the definition of credit risk?,The investors are rewarded for presuming credit risk through the way of interest payments from the issuer or borrower of a debt contract.
what is a credit score?,"This credit score, as an indicator of the creditworthiness, is used by the lenders to access the chances of a person repaying his/her debts."
What is the definition of currency risk?,"Putting it simple, currency risk can be defined as the possibility that currency depreciation will show negative effect on the value of assets, investments, and their related interest and dividend payment streams, specifically those securities denominated in foreign currency."
Why is the number of fraud cases increasing every year?,"Every year, the number of fraud cases is increasing and the reason for this may be attributed to technological development."
what is an annuity?,"An annuity is essentially a finance related contract, which permits the person who is buying it to pay on a lump-sum basis or make payments in series, in return for acquiring disbursements at regular intervals in future."
What is the ratio of financial and operational leverage?,This ratio helps in ascertaining the best possible financial and operational leverage that is to be used in any firm or business.
What is the degree of financial leverage?,The degree of financial leverage (DFL) is the leverage ratio that sums up the effect of an amount of financial leverage on the earning per share of a company.
What is the degree of operating leverage?,The Degree of Operating Leverage (DOL) is the leverage ratio that sums up the effect of an amount of operating leverage on the company’s earnings before interests and taxes (EBIT).
what is the discount rate?,"In finance, the discount rate has different meanings, some important ones mentioned below."
what is discounted cash flow?,"The Discounted Cash Flow analysis involves the use of future free cash flow protrusions and discounts them so as to reach the present value, which is then used to calculate the potential for investment."
what is the underlying idea of the discounted dividend model?,"The underlying idea is that if the value obtained from the dividend discount model is greater than the value at which shares are being already traded, the stock is considered to be undervalued."
What is the main aim of diversification in a company?,The main aim of diversification in a company is to allow the company to establish itself apart from its current operations.
what is the definition of due diligence?,"The term “due diligence” is, generally used for various concepts involving investigation of either a person or business before signing a contract, or an act involving certain standards of care."
What is the EOQ model?,"By using this model, the companies can minimize the costs associated with the ordering and inventory holding."
What is the definition of economic risk?,"Generally speaking, economic risk can be described as the likelihood that an investment will be affected by macroeconomic conditions such as government regulation, exchange rates, or political stability, most commonly one in a foreign country."
what is elasticity of demand?,Elasticity of demand refers to the degree of responsiveness to change in the demand of a product or services and its price.
What is a Explicit Cost?,Explicit cost is defined as the direct payment which is supposed to be made to others during the due course of running business.
What is factor analysis?,Factor analysis is to reduce a set of variables to a set of new variables.
What is a financial analysis report?,"A financial analysis report is, basically, a document that attracts high interest of investors as it contains a detailed appraisal of a company’s financial health."
What is the definition of financial modeling?,"The financial model is generally featured by performing calculations, and making recommendations on the basis of that information."
What is the process of estimating the amount of required capital and determining its competition?,"Putting it simple, it is the process of estimating the amount of required capital and determining its competition."
what is a financial ratio?,A financial ratio can be well defined as a comparative magnitude of two selected statistical values taken from the financial statements of a business enterprise.
What is the definition of financial responsibility?,"Besides, it is essentially important to understand the various basic principles so as to achieve a high level of financial responsibility."
What are the key factors in determining the risk and profitability of a company?,"These ratios include asset utilization ratios, profitability ratios, leverage ratios, liquidity ratios, and valuation ratios."
what is fixed cost in economics?,"Fixed costs, in economics, are explained as business expenses which do not depend on the level of goods and services proffered by a business."
What is fundamental analysis?,"Fundamental analysis can be explained as a method of estimating a security which involves attempting to evaluate its basic value by assessing allied financial, economic, and other quantitative and qualitative factors."
what is the future value of an asset?,The future value (FV) refers to the value of an asset or cash at a particular date in the future which is equivalent to the value of a specified sum at present.
What is the gearing ratio?,"Putting another way, gearing ratio is used mainly for analyzing a company’s capital structure and thus assessing the company’s financial position in the long run."
What is the meaning of horizontal analysis?,Horizontal analysis allows the assessment of relative changes in different items over time.
what is the definition of idiosyncratic risk?,"The idiosyncratic risk can be defined as the risk which affects a very diminutive number of assets, and can be almost eradicated through diversification."
what is the definition of a cost in economics?,"Implicit cost in economics, means the opportunity cost that is equal to what that has to be given up by a firm for using factors that it neither hires nor purchases."
what is an industry analysis?,Industry analysis can be delineated as a market assessment tool which is designed to provide a business with ideas of complexity in a specific industry.
What is a benchmark?,"A benchmark, basically, refers to a standard used to measure the performance of a mutual fund, security, or investment manager."
what is the internal rate of return?,The internal rate of return (IRR) is defined as the return rate that makes the present value of cash flows in addition to the final market value of any investment thus bringing it to the level of current market price of the same.
What is the study of the past decisions made for a particular investment?,It is also known as the study of the past decisions made for a particular investment made.
What is investment banking?,Investment banking can be explained as a form of banking which provides funds to meet the capital requirements of companies.
What is investment management?,Investment management refers to the professional management of different securities and assets so as to meet specified investment goals for the investors’ benefits.
what is the best reduced-form of model for pricing credit risk?,It is one of the best reduced-forms of model that helps in ascertaining credit risk.
What are the key success indicators?,"The KPIs differ between companies and industries, depending upon the performance criteria or the priorities."
What is the labor efficiency variance?,"In order to understand the labor efficiency variance properly, you will have to understand the concept and workings of standard costing first."
what is leverage ratio?,Leverage ratios are financial ratios that measure a company's level of debt in relation to its equity or assets.
What is a leveraged buyout?,"Generally, leveraged buyout involves the use of a combination of different debt instruments from banks and debt capital markets."
what is a liquid asset?,Liquid assets can be referred as an asset that can be converted into cash quickly and with minimal impact to the price received.
What is the meaning of marginal analysis?,"Also, marginal analysis is generally used in microeconomics while analyzing the complexity of a system being affected by marginal manipulation of its comprising variables."
What is the definition of marginal revenue?,Many of the competitive firms continue to produce output until marginal revenue equals marginal cost.
What is the definition of market capitalization?,Market capitalization can be delineated as the total dollar market value of all the outstanding shares of a company.
what is market risk?,Market risk also known by some as systematic risk is when there is potential for an investor to lose the value of its factors or experience a decline in them due to the volatility of the market that is for example by the structural changes that occur in the market or the economy as whole.
what is the difference between the predictable return on a market portfolio and the risk-free rate?,"Market Risk Premium is equivalent to the incline of the security market line (SML), a capital asset pricing model."
What is the definition of the microeconomic pricing model?,The Microeconomic Pricing Model is essentially a model wherein prices for a concerned good or service are determined within a given market.
What are fixed overheads?,Overheads that are fixed in the total volume of activity but variable when calculated as per unit are called fixed overheads.
what is a Monte Carlo simulation?,"Monte Carlo Simulation implies a problem solving technique which is used to estimate the possibility of certain outcomes by running several trial runs, known as simulations, through the use of random variables."
What are the most cost commonly and top five ratios used in the financial field?,The most cost commonly and top five ratios used in the financial field include.
What is a moving average?,Moving Average is basically an indicator that is required for the purpose of conducting a technical analysis that further displays the security’s price average value over a definite period.
what is the meaning of negative equity?,Negative equity is basically the name of a phenomenon.
What is the most important factor that requires consideration while investing in a company?,"As expressed by Investopedia, one of the most important factors that require consideration while investing in a company is the amount of debt carried by the company."
what is the net present value of a business entity?,"As explained by financial authors, the Net Present Value or Net Present Worth is defined as the present values of the individual cash flows, both incoming and outgoing, of a business entity."
how can a company determine the net present value of growth opportunities?,The net present value of growth opportunities can be determined by deducting purchase price from the present value of growth opportunities.
What is the definition of non-diversifiable risk?,Non-diversifiable risk can also be referred as market risk or systematic risk.
What is the definition of non-systematic risk?,"It is, therefore, the individual business risk related to underlying stock, if the company goes bankrupt, it can be stated as a non-systematic risk event and usually has little to do with the general recede and flow of the entire market."
What is the difference between the mean and the standard deviation of a distribution?,The division of distance of one data point from its mean to the standard deviation of the distribution is known as normal deviate or the standardized value.
What is the definition of opportunity cost?,"In other words, opportunity cost refers to the benefits that could have been received through an alternative action."
What is the best capital structure for a firm?,The optimal capital structure indicates the best debt-to-equity ratio for a firm that maximizes its value.
Who created the Pareto principle?,Pareto principle which is also known as the 80 to 20 rule was created by Vilfredo Pareto who was an Italian economist in the year 1906.
what is passive management?,Passive management is the converse of active management which includes attempt by a fund’s manager to beat the market with different investing strategies and selling/buying decisions of securities of a portfolio.
What is the definition of payback period?,"In simple terms, payback period can be defined as a tool of capital budgeting which calculates the length of time required to recover the original invested amount."
What is the definition of success?,"Many a times, success is defined in terms of progressing towards strategic goals, but very often, success is simply referred as the repeated achievement of some level of operational goals."
what is annuity?,"To describe in detail, perpetuity is an annuity wherein the periodic payments commence on a specific date and continue to an indefinite time."
what is the present value of an entity?,The Present Value of an entity can be defined as the present worth of a prospective amount of money or a stream of cash flows with a specified return rate.
What is the definition of price sensitivity?,"Another way of explaining price sensitivity is, “the consumer demand for a product is changed by the cost of the product."
What are the main reasons behind conducting a qualitative analysis?,There could be a number of reasons behind conducting this analysis and may include: measurement of progress; performance evaluation; prediction of related global events and valuation of financial instrument.
what is quantitative analysis?,"Quantitative analysis is a business or financial analysis technique that aims at understanding behavior through the use of complex mathematical and statistical modeling, measurement, and research."
what is the value of the R-squared of a security?,"If the R-squared of a security is 100, it denotes that all the movements of security are completely ascertained by the standard movement of market index."
what is the resultant value?,The resultant value is an indicator of the value of one quantity in other quantity’s terms.
Who uses ratio analysis?,"Besides, ratio analysis is used predominantly by proponents of financial analysis."
Do the values of other independent variables change in this process?,The values of other independent variables do not change in this process.
What is the definition of risk adjusted discount rate?,An estimation of the present value of cash for high risk investments is known as risk-adjusted discount rate.
What is the term risk free rate of return?,The riskless rate represents the interest expected by an investor from a completely riskless investment over a certain time period.
what is a rate adjustment used for economic or business data?,SAAS is a rate adjustment used for economic or business data that attempts to remove the data’s seasonal variations.
What can be done to prevent the losses?,"By keeping track of the changes in the external factors, necessary actions can be taken to prevent the losses."
What is the Sharpe Ratio?,Sharpe has derived a formula that helps to measure the risk adjusted performance.
What does solvency mean?,"In finance, solvency refers to the extent to which the current assets of a business entity exceed its current liabilities."
what is the solvency ratio?,Solvency ratio is one of the various ratios used to measure the ability of a company to meet its long term debts.
what is standard deviation?,The general definition of standard deviation can be given as a measure of the dispersion of a set data from its mean.
What is the standard deviation of the sampling distribution?,In statistics the standard deviation of the sampling distribution is known as the standard error.
What is a SWOT?,"Generally, SWOT is a basic, simple model that evaluates the capabilities of an organization as well as its potential opportunities and threats."
What is systematic risk?,Systematic risk refers to the risk intrinsic to the complete market or the complete market segment.
how long does the discounted cash flow projection take to calculate the value of a firm?,The terminal value of assets or of a company can be calculated beyond the time period of the discounted cash flow projection.
what is the concept of time value of money?,"Moreover, the concept of time value of money also helps in evaluating a likely stream of income in the future in a manner that the annual incomes are discounted and added thereafter, thereby providing a lump-sum present value of the complete income stream."
"In a trend analysis, the sales of each year from the 2008 to 2011 will be converted?","In the trend analysis, the sales of each year from the 2008 to 2011 will be converted into percentage form in order to compare them with each other."
what is the ratio of returns earned in surplus of which could have been earned on a risk?,It is the ratio that measures returns earned in surplus of which could have been earned on a risk free speculation per each unit of market risk.
What is the definition of variable costs?,Variable costs can be calculated as the sum of marginal costs over all units produced.
What is vertical analysis of financial statements?,This method compares different items to a single item in the same accounting period.
what is the weighted average cost of capital?,The Weighted Average Cost of Capital (WACC) can be explained as the rate expected to be provided by a company on average to all the security holders for financing its assets.
What is the method of weighted average cost flow assumptions?,"In this method of weighted average cost flow assumptions, the periodic inventory method is used, which is employed to compute the value of the inventory in addition to the costs of the goods sold."
What is the absorption costing method?,The absorption costing method involves the use of total direct costs and overhead costs related to the manufacturing of a product as the cost base.
what is accelerated depreciation?,Accelerated depreciation refers to a method of depreciation used for income tax or accounting purposes which allows higher deductions in the initial years of an asset’s life.
What is the definition of accounting analysis?,"Accounting analysis, also referred as financial analysis or financial statement analysis, can be explained as an assessment of the stability, viability, and profitability of a business, sub-business, or project."
What is an accounting estimate?,Accounting estimate is an approximation of the amount to be debited or credited on items for which no precise means of measurement are available.
what is accounting policy?,"Accounting policies are the specific principles, bases, conventions, rules and practices applied by an entity in preparing and presenting financial statements."
What is the definition of accounting principles?,Accounting principles are the guidelines set by an accounting body that every entity must follow when they are preparing their financial statements.
What is the general accepted accounting principles?,"GAAP, short for Generally Accepted Accounting Principles, is the common set of accounting principles, procedures, and standards used by companies to compile their financial statements."
What is the definition of a creditor?,These sellers or suppliers are called Creditors.
When credit sales are made that is the cash isn’t waged at the time of?,"When credit sales are made that is the cash isn’t waged at the time of sale of the business or the buyer, here the augmentation of debtors takes room."
What is the definition of accrual accounting?,Accrual accounting refers to the method of accounting which evaluates the performance and position of a company by recognizing economic activities irrespective of the occurrence of cash transactions.
What is the difference between acquisition cost and book value?,Alternatively referred to as book value this cost is stated under the fixed assets section of the balance sheet.
What is the definition of activity based costing?,Activity based costing approach determines the cost of a product based on the activities performed during its production.
What is a adjusting entry?,"In accountancy, adjusting entries can be explained as journal entries which are made generally at the closing of an accounting period to apportion income and expenditure to the period in which they occurred actually."
what is administrative expense?,Administrative expenses refer to the costs of operating a business that are not directly attributable to the production of goods or services.
"What is the definition of an ""affiliate""?","The term ""affiliate"" refers to a type of inter-company relationship that involves one of the companies to own less than a majority of the stock held by the other company."
What is the difference between amortization and depreciation?,"In accounting, amortization is similar to a depreciation method in which the amount decreases over the period."
What is the obverse part of the report?,"The obverse part of the report includes an exciting combination of graphics, photos, as well as an accompany narrative, each of which records the activities of the company in the previous year."
What is the purpose of interim financial statements?,"However, interim financial statements are generally unaudited and in that case, they should be clearly labeled as ‘unaudited’ thus avoiding misleading the statement users."
what is asset based financing?,"Asset based financing is a specialized technique of providing structured working capital and term loans which are tenable by accounts receivable, machinery, inventory, equipment, and real estate."
What is the definition of the authorized share?,In other words this term is also referred to as the authorized share.
What is the definition of authorized shares?,"Usually, the number of shares that are authorized is much more than what is actually required in order to provide a company the opportunity to issue stocks further when required."
What is the definition of bad debt reserve?,Usually the bad debt reserve is considered as an option when the debtor who is liable to pay a specific amount of debt to the creditor but he or she is considered bankrupt.
What is the antonym of goodwill?,It is also called as the negative goodwill.
what is a balance sheet?,"Balance sheet is a snapshot of a company's financial condition at a specific moment in time, usually at the close of an accounting period."
What is a bill of exchange?,A bill of exchange refers to a written interest that does not bear any interest.
What is the definition of a living animal?,International Accounting Standard 41 (IAS 41) defines biological asset as “a living animal or plant”.
What is a bonus depreciation?,Bonus depreciation refers to an additional amount of deductible depreciation which is awarded in addition to what is usually available.
what is the book value?,The book value can be defined as the value at which an asset is passed on a balance sheet.
What is the definition of borrowing cost?,Borrowing cost can be defined as interest and other costs incurred by an enterprise in relation to the borrowing of funds.
What are the costs that are levied on borrowings for long-term?,It is also not the costs that are levied on borrowings for long-term like real estate mortgage and term loan.
What is the burden rate?,"In actuality, the burden rate is the rate with which indirect costs are allocated to the direct costs to make these indirect costs a part of the direct cost incurred."
What is a preferred means of managing a business combination?,"In many cases, a preferred means of managing a business combination might be acquiring a controlling amount of stock."
what is capital expenditure?,"The general definition of capital expenditure can be given as the funds utilized by a company for acquiring or upgrading the physical assets like property, equipment, or industrial buildings."
What is the definition of a capitalized cost?,The capitalized costs are incurred while financing or building fixed assets.
what is the capitalization rate?,Capped rate is also called as the capitalization rate.
what is cash accounting?,"Cash accounting can be explained as an accounting method which involves recording the receipts during the period of being received, and the expenses are recorded in the period of being actually paid for."
what is a cash advance?,"By definition, cash advance is a loan taken on a credit card, for which there is no charge of interest so all the borrower would be charged is with financing charge from the day the cash is borrowed up to the day when the amount is repaid in full."
What is the definition of cash equivalents?,"And cash equivalents “are short-term, highly liquid investments that are readily convertible to known amounts of cash and which are subject to an insignificant risk of changes in value”."
what does ias 7 define financing activities?,IAS 7 defines financing activities as the “activities that result in changes in the size and composition of the contributed equity and borrowings of the entity”.
What does IAS 7 define as an investment activity?,IAS 7 defines investing activities as the activities that “are the acquisition and disposal of long-term assets and other investments not included in cash equivalents”.
What does IAS 7 define operating activities as?,IAS 7 defines operating activities as “the principal revenue-producing activities of the entity and other activities that are not investing or financing activities”.
what is an operating expense clearing account?,"For example, an operating expense clearing account will be maintained to keep track of all the entries of operating expenses and to close the real operating expense account."
What is a commodity?,"By Definition, a commodity is a physical substance, like grains or metals which is interchangeable with another product of the same type and which is bought and sold by investors through sales and purchases."
What is the definition of a common share?,Common shares can be aptly defined as securities in lieu of equity ownership in a corporation.
What are the differences between the traditional and the common size financial statements?,"Where the traditional financial statements are used for the reporting purposes and to report the monetary position of the company, the common size financial statements are used for the decision-making purposes."
What is the type of income statement used for the analysis purpose?,Common-size income statement is the type of income statements in which each item is reported as a reference to the revenue of the company.
What is the completed contract method of accounting?,"In this method, the total contract revenue and the related costs incurred in the performance are recognizable in the period in which the contract is actually completed."
What is the definition of comprehensive income?,"According to IAS 1 ""Presentation of financial statements"", comprehensive income is the change in equity during a period resulting from transactions and other events, other than those changes resulting from transactions with owners in their capacity as owners."
