question,answer
what is the fair market value of the business?,Due to the cost principle (and other accounting principles) the amount of owner’s equity should not be considered to be the fair market value of the business.
what is petty cash?,The amount of the petty cash fund is recorded in a current asset account entitled Petty Cash when the petty cash fund is established.
what is prepaid expenses?,"Generally, the amount of prepaid expenses that will be used up within one year are reported on a company’s balance sheet as a current asset."
What is the amount paid in advance for insurance coverage on a company’s vehicles?,The amount paid is often recorded in the current asset account Prepaid Insurance.
what is accrued expenses?,Accrued expenses are expenses that have occurred but are not yet recorded in the company’s general ledger.
What is the agreement for the three months of December through February?,"The agreement requires that the company repay the $200,000 on February 28 along with $6,000 of interest for the three months of December through February."
what is the interest expense that the company has incurred in December?,"Without an adjusting entry to accrue the interest expense that was incurred by the company in December, the company’s financial statements as of December 31 will not be reporting the $2,000 of interest (one-third of the $6,000) that the company has incurred in December."
What is a control account?,"The control account keeps the general ledger free of details, but still has the correct balance for preparing the company’s financial statements."
what is the amount that a specific customer still owes?,"Hence, if you want to find the amount that a specific customer still owes for its purchases on credit, it will not be shown in the control account."
What is the general ledger?,"The general ledger contains the accounts used by the company to sort and store the amounts from all of the company’s transactions (including all of the payments, receipts, payroll, and general journal entries)."
What is the general journal?,"An entry in the general journal will include the date, the account with the amount that is to be debited, the account with the amount that is to be credited, and a brief description."
what is a bank debit memo?,A bank debit memo is an item on a company’s bank account statement that reduces the company’s checking account balance.
What is the difference between cost of sales and cost of goods sold?,Cost of sales is often a line shown on a manufacturer’s or retailer’s income statement instead of cost of goods sold.
Why do financial statements have their focus on the users?,"Because of the many users, the financial statements must comply with the generally accepted accounting principles, known as GAAP or US GAAP."
What are the other topics that are not distributed outside the company?,Other topics involve analyses and reports that are not distributed outside of the company but are used by management in its decision making and in the planning and control of the business operations.
What is the risk of cash equivalents?,"In other words, there is very little risk of collecting the full amount being reported."
what is depreciation?,"Depreciation is defined as the systematic expensing of the cost of an asset such as equipment, building, vehicle, etc."
What was the florist's net income?,"During the most recent year, the florist had cash revenues of $100,000, cash expenses of $70,000, and depreciation expense of $8,000."
What is the amount of depreciation expense that is appropriate for the period of time indicated?,The depreciation reported on the income statement is the amount of depreciation expense that is appropriate for the period of time indicated in the heading of the income statement.
how much depreciation is reported on the balance sheet after 24 months of use?,"After 24 months of use, the accumulated depreciation reported on the balance sheet will be $24,000."
What is a contra asset account?,(A debit balance in a contra asset account will violate the cost principle.
What is the most common account for a contra asset?,This account appears next to the current asset Accounts Receivable.
What is the difference between debits and credits?,Debits and credits are part of accounting’s double entry system.
What is the most common way to use the word charge?,Sometimes the word charge is used in place of debit.
is it possible to prove that an account balance is correct?,Reconciling an account is likely to mean proving or documenting that an account balance is correct.
What is the best way to reconcile a company’s bank statement?,"When a company reconciles its bank statement, it is reconciling the balance in its general ledger account Cash (or Cash: Checking Account) with the bank’s information."
What could be the meaning of a number?,Parentheses around a number could have a variety of meanings.
What is the difference between a dividend and a share of common stock?,"Stocks pay dividends, which are a distribution of the corporation’s profits to its owners."
What is the difference between a bond and a long-term debt?,The interest is an expense that reduces the corporation’s earnings and its taxable income.
What is the exception to the cost principle?,(An exception is the change in market value of a short-term investment in the capital stock of a corporation whose shares of stock are actively traded on a major stock exchange.
What is the cost principle?,The cost principle prohibits a company from recording an asset that was not acquired in a transaction.
What is a trial balance?,The trial balance lists all of the accounts in the general ledger and their balances (or all of the accounts that have balances).
what is the balance sheet?,"The balance sheet is prepared in order to report an organization’s financial position at the end of an accounting period, such as midnight on December 31."
What is the company’s entry to record the loan payment?,"Let’s assume that a company has a loan payment of $2,000 consisting of an interest payment of $500 and a principal payment of $1,500."
What is a nominal account?,"Since the balance does not carry forward to the next accounting year, a nominal account is also referred to as a temporary account."
What are the nominal accounts?,"The nominal accounts are almost always the income statement accounts such as the accounts for recording revenues, expenses, gains, and losses."
What is an account?,"In accounting, an account is a record in the general ledger that is used to sort and store transactions."
What is the purpose of the statement of cash flows?,The cash flow statement (officially known as the statement of cash flows) is one of the required financial statements issued by U.
What is the purpose of the cash flow statement?,"In addition to the cash amounts arranged into three types of activities (operating, investing, and financing), the cash flow statement discloses the amount of interest paid, the amount of income taxes paid, and significant investing and financing activities that did not require the use of cash."
What is the title of the general ledger liability account?,"The title of the general ledger liability account may have the title of Unearned Revenues, Deferred Revenues, or Customer Deposits."
How much will the company be able to charge to the account Design Revenues?,"Therefore, it will record an adjusting entry dated January 31 that will debit Deferred Revenues for $20,000 and will credit the income statement account Design Revenues for $20,000."
what is an expense?,An expense is a cost that a company incurs or uses up when it earns revenues.
what is an expenditure?,"The expenditure may be for the purchase of an asset, a reduction of a liability, a distribution to the owners, or it could be payment in the same accounting period as the amount becomes an expense."
What is the difference between an expense and an expenditure?,Here is an example to illustrate the difference between an expense and an expenditure.
What is the basic accounting equation for a statement of financial position?,"The statement of financial position must reflect the basic accounting principles and guidelines such as the cost, matching, and full disclosure principle to name a few."
What is the difference between secured and unsecured creditors?,Some creditors are referred to as secured creditors because they have a registered lien on some of the company’s assets.
what is gross margin?,Gross margin is the amount remaining after a retailer or manufacturer subtracts its cost of goods sold from its net sales.
What is the difference between the two?,"Let’s use “SP” to indicate the product’s required selling price and “MU$” to represent the gross profit, and state the gross margin as 0."
what are the most common types of assets that are likely to be listed on a company’?,"Examples of assets that are likely to be listed on a company’s balance sheet include: cash, temporary investments, accounts receivable, inventory, prepaid expenses, long-term investments, land, buildings, machines, equipment, furniture, fixtures, vehicles, goodwill, and more."
What is the connection between the balance sheet and income statement?,"To illustrate the connection between the balance sheet and income statement, let’s assume that a company’s owner’s equity was $40,000 at the beginning of the year, and it was $65,000 at the end of the year."
What is the difference between the income statement accounts and the balance sheet accounts?,Balance sheet accounts are also referred to as permanent or real accounts because at the end of the accounting year the balances in these accounts are not closed.
What are examples of a corporation’s balance sheet accounts?,"Examples of a corporation’s balance sheet accounts include Cash, Temporary Investments, Accounts Receivable, Allowance for Doubtful Accounts, Inventory, Investments, Land, Buildings, Equipment, Furniture and Fixtures, Accumulated Depreciation, Notes Payable, Accounts Payable, Payroll Taxes Payable, Paid-in Capital, Retained Earnings, and others."
What is the cost principle in GAAP?,"This means that the inventories, the cost of goods sold, and the resulting net income must reflect the manufacturer’s actual historical costs."
What are the common rules that must be followed when financial statements are distributed by a business or?,"When financial statements are distributed by a business or other organization, the common rules that must be followed are known as generally accepted accounting principles or GAAP."
what is a noncurrent asset?,A noncurrent asset is an asset that is not expected to turn to cash within one year of date shown on a company’s balance sheet.
What is the best way to get the financial statements?,"After reviewing the financial statements, the accountant is able to make additional adjustments and almost immediately obtain the revised reports."
What is the difference between outstanding checks and deposits in transit?,Outstanding checks are a deduction to the balance per bank; deposits in transit are an addition to the balance per bank.
what is the term liability in accounting and bookkeeping?,"In accounting and bookkeeping, the term liability refers to a company’s obligation arising from a past transaction."
What does the term debt mean?,"Others use the term debt to mean only the formal, written loans and bonds payable."
What is the definition of debt?,"As an example of debt meaning the total amount of a company’s liabilities, we look to the debt-to-equity ratio."
"what is the definition of property, plant and equipment?","Property, plant and equipment is the long-term asset or noncurrent asset section of the balance sheet that reports the tangible, long-lived assets that are used in the company’s operations."
What is a subtraction of the accumulated depreciation that pertains to these?,Also included in this balance sheet classification is a subtraction of the accumulated depreciation that pertains to these assets.
what is the definition of operating expenses?,Operating expenses are the costs that have been used up (expired) as part of a company’s main operating activities during the period shown in the heading of its income statement.
What are the main operating activities of a retailer?,Examples of a retailer’s main operating activities involve the buying and selling of merchandise or goods.
What is the definition of revenue?,Revenue is the amount a company receives from selling goods and/or providing services to its customers and clients.
how much does a company gain when it sells a truck?,"For example, if the company receives $3,000 for the old delivery truck, and the truck’s carry amount (book value) at the time of the sale was $600, the company will have a gain of $2,400."
What is the definition of income?,"Generally, accountants use the term revenue for the gross amount received, but the IRS may use the term income to mean the gross amount received."
What is the difference between a contra inventory account and a valuation account?,"Often the balance in the current asset account Inventory is reduced through a credit to a contra inventory account, which is referred to as a valuation account."
What is the effect of the write-down of inventory on the balance sheet?,"Since the amount of the write-down of inventory reduces net income, it will also reduce the amount reported on the balance sheet for owner’s equity or stockholders’ equity."
what is the difference between a company and a bank?,"If a company borrows $10,000 from a bank, the company is the debtor and the bank is the creditor."
What is the net sales of what goods?,Net sales – Cost of goods sold = gross profit?
What is the gross profit ratio?,"The gross profit ratio or gross profit percentage is 35% (gross profit of $21,000 divided by net sales of $60,000)."
What does the term net profit mean after income tax expense?,"If the business is a regular corporation, net profit may mean after income tax expense."
What does the term cost mean?,"However, we use the term cost to mean the amount spent to purchase an item, a service, etc."
How much will the income statement report on the supplies on hand?,"As a result, the balance sheet will report the supplies on hand at their cost of $2,500 (500 units at $5) and the income statement will report supplies expense of $7,500 (1,500 units at $5)."
What is the process of preparing detailed projections of future amounts?,Budgeting is the process of preparing detailed projections of future amounts.
What is the definition of capital budgeting?,Capital budgeting involves future projects which overlap several or many future accounting periods.
what is income statement?,Income statement accounts are one of two types of general ledger accounts.
What are the most common income statement accounts used in a business?,"A few of the many income statement accounts used in a business include Sales, Sales Returns and Allowances, Service Revenues, Cost of Goods Sold, Salaries Expense, Wages Expense, Fringe Benefits Expense, Rent Expense, Utilities Expense, Advertising Expense, Automobile Expense, Depreciation Expense, Interest Expense, Gain on Disposal of Truck, and many more."
What is the difference between the amount of revenue and the amount of net income?,"While revenue is the top line on a company’s income statement, net income is often referred to as the bottom line."
What is the best way to calculate a company’s revenue during an accounting period?,"The best way to calculate a company’s revenue during an accounting period (year, month, etc."
What is the best way to use the word income when referring to the amounts earned from customers?,"However, it is best to use the word sales or revenue when referring to the amounts earned from customers, and to use the word income for an amount that reflects the subtraction of expenses."
what is the operating cycle?,The operating cycle is the time required for a company’s cash to be put into its operations and then return to the company’s cash account.
What is the full disclosure principle?,The full disclosure principle requires a company to provide the necessary information so that people who are accustomed to reading financial information are able to make informed decisions regarding the company.
"When the equipment is placed into service, the company will begin to report depreciation expense?","When the equipment is placed into service, the company will begin to report depreciation expense on the profit and loss statements during the years that the equipment is used."
How much depreciation expense is reported in a year?,"Using the straight-line method of depreciation, each year’s profit and loss statement will report depreciation expense of $10,000 for 10 years."
What are the other accounts that are temporary?,A few other accounts such as the owner’s drawing account and the income summary account are also temporary accounts.
what is a cost?,A cost might be an expense or it might be an asset.
how much is a property insurance bill for the next six months?,"A company’s property insurance bill for the next six months of insurance shows a cost of $6,000."
what is the amount of insurance that expires?,"As a prepaid cost such as the $6,000 in the asset account Prepaid Insurance expires, the part that expires will be reported on the income statement as Insurance Expense."
what is the sole proprietorship of J. Lee?,The sole proprietorship of J.
Why does the total amount reported in the capital accounts not indicate a company’s market value?,"Because of the historical cost principle and other accounting principles, the total amount reported in the capital accounts will not indicate a company’s market value."
What is the going concern assumption?,The going concern assumption is a basic underlying assumption of accounting.
What is the role of cost centers and profit centers in a decentralized company?,Cost centers and profit centers are usually associated with planning and control in a decentralized company.
what is unpaid wages?,"Unpaid wages are usually the amounts that hourly-paid employees have earned, but have not yet been paid to the employees."
How do you adjust an expense before issuing financial statements?,"This is accomplished by recording an adjusting entry that debits the income statement account Repairs Expense for $6,000, and credits the balance sheet current liability account Accrued Expenses Payable for $6,000."
What is the adjusting entry for the balance sheet?,"The adjusting entry dated December 31 will debit the balance sheet current asset account Interest Receivable for $5,000, and will credit the income statement account Investment Income for $5,000."
what is interest expense?,"Interest expense is occurring daily, but the interest is likely to be paid monthly, quarterly, semiannually, or annually."
How much interest expense did the company incur in the month of December?,"However, the company did incur one-half month of interest expense."
what is the gross profit margin?,Gross profit margin is also referred to as the gross profit percentage or gross margin ratio.
What is the difference between the gross margin and the cost of goods sold?,Others might say the company had a gross margin ratio of 25%.
what is the purpose of the income statement?,"The purpose of the income statement is to report a summary of a company’s revenues, expenses, gains, losses, and the resulting net income that occurred during a year, quarter, or other period of time."
How are the income statement amounts best calculated for a specific period of time?,The income statement amounts are best calculated for a specific period of time by using the accrual basis of accounting.
What is the definition of a capital expenditure?,The amount of the capital expenditure will be recorded as an asset and will then be moved to the income statement as depreciation expense over the years of the asset’s useful life.
What is the difference between a normal repair and an expense?,"As a result, normal repairs will also be reported on the income statement as an expense in the accounting period when the repair is made."
What is the definition of expenses?,"expenses themselves are in many forms and are called by various names—for example, cost of goods sold, cost of services provided, depreciation, interest, salaries and wages."
What is a debit balance?,"In accounting and bookkeeping, a debit balance is the ending amount found on the left side of a general ledger account or subsidiary ledger account."
What is the difference between the cash and cash accounts?,"After this transaction is recorded, the Cash account will have a debit balance of $4,000."
what is interest payable?,Interest payable is the amount of interest the company has incurred but has not yet paid as of the date of the balance sheet.
What is the difference between interest expense and interest payable?,"To illustrate the difference between interest expense and interest payable, let’s assume that a company borrows $200,000 on November 1 at an annual interest rate of 6%."
what is the account wages and salaries ep?,The account Wages and Salaries Expense (or separate accounts such as Wages Expense or Salaries Expense) are used to record the amounts earned by employees during the accounting period under the accrual basis of accounting.
How will the balance sheet report the liability for the wages owed as of December 31?,"As a result, the December’s income statement will present an accurate picture of December’s profits and the balance sheet will report the liability for the wages owed as of December 31."
What are the common cost flow assumptions in the U.S.?,"the common cost flow assumptions are FIFO, LIFO, and average."
What type of inventory do manufacturers have?,"Retailers and distributors are likely to have one type of inventory, namely merchandise."
What is the definition of depreciation expense?,The depreciation of assets used in the business but outside of the manufacturing process will be reported as depreciation expense of the accounting periods.
what is a contra asset account?,Accumulated depreciation reports the total amount of depreciation that has been reported on all of the income statements from the time that the assets were put into service until the date of the balance sheet.
how long does the credit balance in accumulated depreciation reach?,"until the balance in Accumulated Depreciation reaches $84,000 at the end of the 84th month."
What is the definition of costs?,"In the context of the question, costs are the amounts paid in exchange for materials, products, or services."
What is the definition of cost?,"Costs are reported as expenses in the accounting period when they are used up, have expired, or have no future economic value which can be measured."
How long does the cost of a hydraulic lift last?,The remaining useful life of the truck and the lift is 5 years.
What is the accounting equation of a sole proprietorship?,"For a corporation, the accounting equation is assets = liabilities + stockholders’ equity."
How much of the money will be invested in the new business?,"Let’s assume that a person starts a new sole proprietorship business by investing $10,000."
What are accounting principles?,Accounting principles are the common rules that must be followed when preparing financial statements that are distributed to people outside of the company (or other organization).
Why does an organization have its accounting year end on a date other than December 31?,business or other organization will have its accounting year end on a date other than December 31 is to coincide with its natural business year.
what is the definition of a freight outwards?,Carriage outwards refers to the transportation costs that a seller must pay when it sells merchandise with the terms FOB Destination.
What is the cost of shipping the goods?,The supplier ships the goods via United Parcel Service at a cost of $50.
What is a subsidiary ledger?,"(When a significant amount of detailed information is needed for an account such as Accounts Receivable, a subsidiary ledger is often used."
How much money did your company pay for a car?,"Assume that your company purchased a car for $10,000 by paying cash of $4,000 and signing a promissory note for $6,000."
what is the amount of bad debts incurred?,The amount reported in the income statement account Bad Debts Expense pertains to the estimated losses from extending credit during the period shown in the heading of the income statement.
what is the amount of accounts that will not be collected?,The balance reported in the balance sheet account Allowance for Doubtful Accounts is the estimated amount of Accounts Receivable that will not be collected.
how much of the company’s accounts receivable is owed?,"However, on January 31 the company learns that an additional $1,000 of its accounts receivable may not be collected."
what is an unpresented check?,An unpresented check is also referred to as an outstanding check or a check that has not yet cleared the bank.
what is the difference between a cash account and a check?,"Hence, the company’s general ledger Cash account will not require an adjustment for the unpresented or outstanding check when it is reported on the balance sheet."
What is the term interest that has occurred but has not been paid as of a balance sheet?,"Interest that has occurred, but has not been paid as of a balance sheet date, is referred to as accrued interest."
What is the adjusting entry for interest expense and liability?,"If the interest for December 11 through December 31 was $100, the adjusting entry dated December 31 will debit Interest Expense for $100, and will credit Interest Payable for $100."
what is part of stockholders’ equity?,An expense will decrease a corporation’s retained earnings (which is part of stockholders’ equity) or will decrease a sole proprietor’s capital account (which is part of owner’s equity).
what is window dressing?,Window dressing refers to actions taken or not taken prior to issuing financial statements in order to improve the appearance of the financial statements.
what is the balance in the general ledger account?,Let’s assume that a company operates throughout the year with a negative balance in its general ledger account Cash: Checking Account.
What is the balance in Accumulated Depreciation?,The balance in Accumulated Depreciation is reported on the balance sheet as a separate deduction from the assets’ historical costs.
how much land should be reported on the company’s balance sheet?,"Today the land should be reported on the company’s balance sheet at its historical cost of $100,000 even though its current cost, replacement cost, inflation-adjusted cost, appraised value, and assessed value amounts range from $150,000 to $270,000."
What is the difference between a company’s accounting periods and the year?,"If the company’s accounting periods are calendar months (and the calendar year), the company will have to accrue for the wages and benefits earned by the hourly paid employees (which are not yet paid or recorded in the general ledger accounts) as of the last day of each month."
What are payroll withholding taxes?,"payroll withholding taxes are the taxes that an employer is required to deduct from its employees’ gross wages, salaries, bonuses, and other compensation."
What are the payroll taxes withheld from employees?,(The taxes withheld from employees are not an expense of the company that withheld them.
What is the difference between a sole proprietorship and a subchapter?,"The net income of a sole proprietorship, partnership, and Subchapter S corporation will not include income tax expense since the owners (not the entity) are responsible for the business’s income tax."
What is the difference between a net loss and a decrease in the owner’s capital?,A net loss will cause a decrease in retained earnings and stockholders’ equity.
What is the meaning of the term accounting period?,"However, the financial statements for the monthly accounting periods are likely to be used only by the companies’ managements."
What are some examples of accounting periods used by U.S. companies?,The following are some examples of accounting periods used by U.
what is a long-term asset?,A long-term asset is an asset that is not expected to be converted to cash or be consumed within one year of the date shown in the heading of the balance sheet.
what is long-term asset?,"Long-term assets include long-term investments in financial securities, property, plant, equipment, and intangible assets."
What is the definition of accrued income?,One example of accrued income is the interest a company earns on a bond investment.
What is an invoice?,An invoice received from a vendor is a billing for goods or services that it had provided.
What is the purpose of a supplier’s policy?,A statement from a supplier lists the amounts from past invoices that the customer has not paid.
what is prepaid expense?,A prepaid expense refers to an amount that a company has paid and a portion or all of it will be an expense in a later accounting period.
what is a prepaid expense?,"A company with an accounting year ending on December 31 has a prepaid expense if on December 1, it paid $6,000 for insurance coverage from December 1 through May 31."
How can a prepaid expense be recorded?,A prepaid expense can be recorded initially as an expense or as a current asset.
what is a negative owner’s equity?,Negative owner’s equity means the amount of a sole proprietorship’s liabilities exceeds the amount of its assets.
What is the problem with the negative amount of owner’s equity?,The negative amount of owner’s equity is a problem that will be obvious to anyone reading the company’s balance sheet.
What is the difference between Prepaid Advertising and Advertising Expense?,A prepayment of the cost of ads that will air in the future should be recorded in a current asset account such as Prepaid Advertising.
What is the ad cost?,Let’s assume that in December a corporation paid $15 million to prepare an ad and to book a time for it to be shown during the Super Bowl Game in early February.
How does the business account debit the owner’s equity?,"To illustrate that debits increase asset account balances, assume that Jim starts a new business by depositing $20,000 of his personal savings into the business checking account."
what does replenishing mean?,Replenishing the petty cash fund means the petty cash custodian requests and receives cash from the company’s regular checking account in an amount that will return the cash on hand to the amount shown in the general ledger account Petty Cash.
How much cash does Mary need to return to her company?,She needs to obtain a company check for $80 in order to cash it and return the cash amount to $100 (the amount shown in the Petty Cash account).
What is the reason for reporting too little inventory at the end of the year?,"If inventory is understated at the end of the year, it means that the amount of inventory being reported is less than the true or correct amount."
What is the formula for the cost of goods sold?,The formula for the cost of goods sold is: Cost of beginning inventory + cost of goods purchased = cost of goods available – cost of ending inventory = cost of goods sold.
What are the current liabilities for companies with operating cycles greater than one year?,"(For companies with operating cycles greater than one year, their current liabilities are the obligations due within the operating cycle."
What are some common examples of current liabilities that are reported on a company’s balance sheet?,Some common examples of current liabilities that are reported on a company’s balance sheet include the following: Accounts payable which are the amounts owed to vendors who have supplied goods or services.
"Under the accrual method of accounting, revenues are reported on the income statement in the period in?","Under the accrual method of accounting, revenues are reported on the income statement in the period in which they are earned even though the dependable customers will pay the company 30 days later."
how many days will a company sell goods to one of its best customers?,"On June 10, a company sells $4,000 of goods to one of its best customers with credit terms of net 30 days."
what is a company’s receipts?,A company’s receipts refers to the cash that the company received.
what is the value of a cash sale?,When a company makes a $200 cash sale (or performs services for $200 of cash) the company has earned revenue of $200 and has a receipt of $200.
What should be included in the external financial statements issued by U.S. corporations?,The external financial statements issued by U.
What is the difference between paid-in capital and contributed capital?,"Generally, paid-in capital reports the amount that a corporation received from its stockholders (or shareholders) in exchange for the newly issued shares of its capital stock."
what is retained earnings?,Retained earnings is one component of the stockholders’ equity section of a corporation’s balance sheet.
How much does a company depreciate its equipment?,"Assume that a company depreciates its equipment at a rate of $10,000 per year."
What are the types of assets that are reported on the balance sheet?,Fixed assets are one of several categories of noncurrent assets.
what is net cash flow?,Net cash flow is the combination of the cash received and the cash disbursed.
What are the net cash flows?,"The net cash flows include the cash inflows such as the money received from customers who purchased products on credit in an earlier accounting period, cash sales occurring in the current accounting period, money received from a bank loan, money received from disposing of an old asset, etc."
What is the difference between the cash and the depreciation expense?,"In December, ABCO will have very little depreciation expense, which means a small reduction in its December’s net income."
what is required to be issued along with the income statement?,"As a result of the difference between a company’s net income and the change in a company’s cash balance, the statement of cash flows is required to be issued along with the income statement and the other required financial statements."
What is the par value of a corporation’s legal capital?,The par value is also referred to as the corporation’s legal capital.
"What is the accounting entry for a debit to Cash for $2,000 and a credit to?","For example, if a corporation issues 100 new shares of its common stock for a total of $2,000 and the stock’s par value is $1 per share, the accounting entry is a debit to Cash for $2,000 and a credit to Common Stock—Par $100, and a credit to Paid-in Capital in Excess of Par for $1,900."
What is the accounting entry for the corporation?,"If a corporation is not required to have a par value (or a stated value) for its common stock and the corporation issues 100 shares for $2,000, the accounting entry will debit Cash for $2,000 and will credit Common Stock for $2,000."
Under the periodic system the account Inventory will have no entries until it is adjusted at the end of?,Under the periodic system the account Inventory will have no entries until it is adjusted at the end of the accounting year so that it reports the cost of the ending inventory.
What is the cost of the goods sold?,"Under the perpetual system, the costs of the goods sold are removed from the account Inventory when the goods are sold and are recorded in the account Cost of Goods Sold."
What is the best way to record the payment as a prepaid asset?,"If an annual trade group membership fee is $6,000 and the amount is significant for the company, the company should record the payment as a prepaid asset and then write a monthly adjusting entry for $500."
Why are monthly accrual adjusting entries needed?,Accrual adjusting entries are needed monthly only if a company issues monthly financial statements.
What is the meaning of the balance sheet?,"If a company prepares its balance sheet in the account form, it means that the assets are presented on the left side or debit side."
What is the effect of a positive amount of profit or net income?,"Accountants do prepare an income statement or P&L to report the revenues and expenses, but the ultimate effect of a positive amount of profit or net income is to increase the business’s assets and owner’s equity."
Does the owner’s drawing account get closed to the Income Summary account?,Please note that the owner’s drawing account is not an expense and as a result it does not get closed to the Income Summary account nor will the amount appear on the company’s income statement.
"How much is the debit balance on Eve Jones, Drawing?","Let’s assume that at the end of the accounting year the account Eve Jones, Drawing has a debit balance of $24,000."
What is the inventoriable cost of an item?,"If the freight cost is $1, then the retailer’s inventoriable cost of the item is $21."
What are the assets that are reported on the balance sheet?,"Assets that are reported on the balance sheet are the company’s resources such as cash, accounts receivable, inventory, investments, land, buildings, equipment, some intangible assets ."
What is the purpose of the balance sheet classifications?,The balance sheet classifications allow the reader to easily compute the amount of a company’s working capital and to determine if a company is highly leveraged.
What is the difference between a debit and a credit?,"You should think of a debit as an entry on the left side of an account, and a credit as an entry on the right side of another account."
What is the difference between a credit and debit?,"To illustrate, let’s assume that a company borrows $10,000 from its bank."
What is the difference between a monthly rent payment and a credit to Cash?,This is recorded with a credit to Cash.
What are sales commissions?,Sales commissions are amounts earned by selling another company’s goods or services and paid by the company whose goods or services were sold.
What is the difference between a journal entry and a noncancelable contract?,"While a journal entry is not required at the time the contract is signed, significant commitments that are contained in the contract must be disclosed in the notes to the financial statements of the parties to a noncancelable contract."
How does the contract work?,Assume that an electric utility signs a noncancelable contract with a coal company to purchase 100 million tons of coal to be delivered over a one-year period that will begin in three months.
what are the elements of financial statements?,The elements of financial statements are the classes of items contained in the financial statements.
What is the definition of a corporation’s earnings?,"When a corporation’s stock is publicly-traded, the amount of earnings must also be shown on the income statement as earnings per share (EPS) of common stock."
What was the most recent year’s net sales of a corporation?,"Assume that for the most recent year a corporation had net sales of $410,000; cost of goods sold $230,000; SG&A $120,000; interest expense $10,000; income tax expense $9,000."
will be required to reduce the credit balance?,"Therefore, to reduce the credit balance, the expense accounts will require debit entries."
What account will be used to debit the company’s cash?,"Since every entry must have debits equal to credits, the company will need to debit another account for $800."
"To increase the credit balance, the revenues accounts will have to be credited.?","Therefore, to increase the credit balance, the revenues accounts will have to be credited."
what is the difference between a service and cash?,"If the company earns and receives $300 for providing a service, the company’s assets and owner’s equity will increase."
What is the definition of accrued revenues?,"Accrued revenues include service revenues, interest income, sales of goods, etc."
How much interest is due to the supplier?,"For the December financial statements to report the amount earned, the accountant must record an adjusting entry dated December 31 that debits $1,000 to Interest Receivable (a balance sheet account) and credits $1,000 to Interest Income (an income statement account)."
What is the difference between the amount of revenues earned and the amount of expenses incurred?,"Under the accrual basis of accounting, profit is the amount of revenues earned minus the amount of expenses incurred."
What are the changes to the balance sheet?,"Since all business transactions affect at least two accounts, there will likely be an enormous number of changes to the balance sheet."
What is the order of the current liabilities?,"Within the current liabilities classification, the order in which the current liability accounts are listed can vary."
What is the intended result of a temporary account?,The intended result is for each temporary account to begin the next accounting year with a zero balance.
What is a classified balance sheet?,A classified balance sheet arranges the amounts from a company’s balance sheet accounts into a format that is useful for the readers.
